experiment,N_train,N_valid,sigma,N_epochs,weight,bias,MSE_train,MSE_valid,MSE_true
1,500,50,0.2,1,-1.1338289,0.26006234,3.9075428894753035,3.58030720967606,3.4375275561701586
2,500,50,0.2,5,0.9809568,0.77315277,0.4461993171781486,0.4306132451890052,0.3585153897168484
3,500,50,0.2,10,1.3585693,0.9307549,0.19027149862561474,0.18154942464888077,0.13138920204036497
4,500,50,0.2,30,1.9440904,0.97808015,0.04114551114051287,0.04531580262701015,0.0013493069490961664
5,500,50,0.2,100,2.0186117,0.9794231,0.03911621004543764,0.04441303530361102,0.0005740017755265817
6,10,50,0.2,30,1.1673875,0.3032434,0.40467194735957984,0.842177980697889,0.8193535731334335
7,50,50,0.2,30,1.525793,0.6627809,0.26274185338177514,0.24337113528143256,0.2153708363464354
8,100,50,0.2,30,1.9367527,0.9409657,0.036425844808501286,0.03489700878488212,0.005502522463287055
9,250,50,0.2,30,1.5522833,1.018881,0.10871374028547548,0.0949914494445921,0.05544847892384297
10,500,50,0.2,30,1.9659959,0.991564,0.03714992736000224,0.031004818952686898,0.0004679142021368614
11,1000,50,0.2,30,2.0120645,0.9892627,0.0364759688436977,0.0296853914788711,0.00012626279188872664
12,500,50,0.0,30,1.9354926,0.9959228,0.0013263947817190806,0.0012068448160844085,0.0012068448160844085
13,500,50,0.05,30,1.9146743,0.9957496,0.004954297154522697,0.005429036762562987,0.002474706328597713
14,500,50,0.1,30,1.9398727,1.0022811,0.011214334313428989,0.01093995753308778,0.0010392230369990377
15,500,50,0.2,30,1.8826305,0.99487835,0.03680611183646523,0.06445332075463468,0.004721823035990097
16,500,50,0.5,30,1.8860959,0.97909224,0.22291909978510335,0.20462572493177972,0.0054167578482442035
17,500,50,1.0,30,1.7956767,0.89566004,1.0542248162309806,0.887693917008528,0.02998006132061662
