#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.16675     3.16675           0
           2     3.22924       3.198   0.0220927
           3     3.29922     3.23174   0.0312396
           4      3.3156      3.2527   0.0296411
           5     3.31579     3.26532   0.0262611
           6     3.29738     3.27066   0.0224214
           7     3.29236     3.27376   0.0194313
           8     3.27258     3.27361    0.017003
           9     3.26202     3.27233   0.0151624
          10     3.24839     3.26993   0.0138338
          11     3.28271     3.27109   0.0126249
          12     3.30348     3.27379   0.0118577
          13     3.28871     3.27494    0.011001
          14     3.26316      3.2741   0.0102474
          15     3.26241     3.27332  0.00959378
          16     3.27065     3.27315  0.00899561
          17     3.27958     3.27353  0.00847439
          18     3.31253      3.2757  0.00827587
          19     3.26687     3.27523  0.00785334
          20     3.26758     3.27485  0.00746998
