#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0569706  -0.0569706           0
           2  -0.0621917  -0.0595812  0.00184594
           3  -0.0596889  -0.0596171  0.00123097
           4   -0.055999  -0.0587125  0.00121078
           5  -0.0594465  -0.0588593  0.00097748
           6  -0.0623299  -0.0594378  0.00097074
           7  -0.0573592  -0.0591408 0.000876303
           8  -0.0611387  -0.0593906 0.000801561
           9   -0.171845  -0.0718855   0.0118019
          10   -0.429614   -0.107658   0.0355605
          11   -0.418651    -0.13593   0.0420919
          12   -0.208219   -0.141955   0.0390129
          13   -0.283053   -0.152808   0.0374913
          14   -0.299412    -0.16328   0.0362463
          15   -0.427078   -0.180866   0.0378567
          16   -0.320531   -0.189595   0.0364831
          17   -0.382404   -0.200937   0.0360569
          18   -0.383125   -0.211059   0.0354459
          19   -0.317334   -0.216652   0.0340188
          20   -0.312902   -0.221465   0.0326565
