#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01632     2.01632           0
           2     2.01973     2.01803  0.00120608
           3     2.01811     2.01805 0.000804416
           4     2.01571     2.01747 0.000788328
           5     2.01793     2.01756 0.000635919
           6     2.01984     2.01794 0.000633459
           7      2.0166     2.01775 0.000571111
           8     2.01911     2.01792 0.000524285
           9     2.09283     2.02624  0.00786091
          10     2.26472     2.05009   0.0237048
          11      2.2573     2.06893   0.0280533
          12     2.11685     2.07292   0.0259982
          13     2.16679     2.08014   0.0249811
          14     2.17765     2.08711    0.024148
          15     2.26254      2.0988   0.0252119
          16     2.19196     2.10462   0.0242991
          17     2.23298     2.11217   0.0240141
          18     2.23346     2.11891   0.0236063
          19      2.1897     2.12264    0.022656
          20     2.18672     2.12584   0.0217486
