#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96751     2.96751           0
           2      2.9674     2.96746 3.68148e-05
           3     2.96748     2.96747 2.54807e-05
           4     2.96757     2.96749 2.93038e-05
           5     2.96744     2.96748 2.50717e-05
           6     2.96743     2.96747 2.21856e-05
           7     2.96754     2.96748 2.11669e-05
           8     2.96752     2.96749 1.90119e-05
           9     2.96739     2.96748 1.95084e-05
          10     2.96747     2.96748 1.75644e-05
          11      2.9673     2.96746 2.18708e-05
          12     2.96705     2.96743 3.81178e-05
          13     2.96714      2.9674 4.11792e-05
          14     2.96706     2.96738 4.50959e-05
          15     2.96673     2.96734 5.91966e-05
          16      2.9674     2.96734  5.5647e-05
          17     2.96706     2.96732 5.47329e-05
          18     2.96706     2.96731 5.36123e-05
          19     2.96722     2.96731 5.10147e-05
          20     2.96717      2.9673  4.8879e-05
