#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.03051     3.03051           0
           2     3.01661     3.02356  0.00491204
           3     3.04084     3.02932  0.00573106
           4     3.00996     3.02448  0.00600396
           5     3.04101     3.02779  0.00564019
           6     3.01625     3.02586  0.00501694
           7     3.03092     3.02659  0.00435198
           8      3.0302     3.02704  0.00383139
           9     3.01688     3.02591  0.00356806
          10     3.04071     3.02739  0.00350496
          11     3.00997     3.02581  0.00352613
          12     3.04112     3.02708  0.00345563
          13       3.016     3.02623  0.00329333
          14     3.03122     3.02659  0.00307734
          15      3.0299     3.02681  0.00288009
          16     3.01715      3.0262   0.0027626
          17     3.04058     3.02705   0.0027265
          18     3.00998      3.0261  0.00273491
          19     3.04124      3.0269   0.0027045
          20     3.01575     3.02634  0.00262611
          21     3.03153     3.02659  0.00251264
          22      3.0296     3.02672  0.00240215
          23     3.01743     3.02632  0.00233142
          24     3.04049     3.02691  0.00230782
          25     3.01003     3.02624  0.00231213
          26     3.04151     3.02682  0.00229666
          27     3.01569     3.02641  0.00224831
          28     3.03237     3.02662  0.00217807
          29     3.03071     3.02676  0.00210752
          30     3.01921     3.02651  0.00205226
          31      3.0488     3.02723   0.0021082
          32     3.01592     3.02688  0.00207174
          33     3.09415     3.02892  0.00283992
          34     3.16021     3.03278  0.00469804
          35     3.23337     3.03851  0.00726194
          36     3.06923     3.03936  0.00711019
          37     3.42548      3.0498   0.0124023
          38     3.88939     3.07189   0.0249229
          39     3.17506     3.07454   0.0244238
          40     3.09841     3.07513   0.0238205
          41     3.00185     3.07335   0.0233065
          42     3.34185     3.07974   0.0236121
          43     3.82289     3.09702   0.0286992
          44     3.37723     3.10339   0.0287448
          45     3.07453     3.10275   0.0281132
          46     3.09583      3.1026   0.0275024
          47     3.37165     3.10832   0.0275066
          48     3.15909     3.10938   0.0269538
          49     3.37224     3.11475   0.0269323
          50     3.33482     3.11915   0.0267509
          51     3.20457     3.12082   0.0262788
          52     3.08913     3.12021   0.0257805
          53     3.14447     3.12067   0.0252981
          54     3.20058     3.12215   0.0248729
          55     3.30724     3.12552   0.0246472
          56     3.41359     3.13066   0.0247381
          57     3.40122     3.13541   0.0247553
          58     3.36354     3.13934    0.024639
          59     3.45407     3.14467   0.0247921
          60     3.35642      3.1482   0.0246288
          61     3.35435     3.15158   0.0244558
          62     3.34655     3.15473   0.0242627
          63     3.19399     3.15535   0.0238855
          64     3.25686     3.15694   0.0235649
          65     3.28902     3.15897   0.0232898
          66     3.30908     3.16124   0.0230477
          67     3.41781     3.16507   0.0230197
          68     3.38197     3.16826   0.0229011
          69      3.3214     3.17048   0.0226764
          70     3.33918     3.17289   0.0224802
          71     3.38251     3.17584   0.0223566
          72     3.35766     3.17837   0.0221882
          73     3.35415     3.18078   0.0220146
          74     3.27306     3.18202   0.0217524
          75     3.26535     3.18313   0.0214907
          76     3.24564     3.18396   0.0212236
          77     3.29279     3.18537    0.020995
          78     3.27453     3.18651    0.020757
          79     3.25887     3.18743   0.0205144
          80     3.29412     3.18876   0.0203013
          81     3.29852     3.19012   0.0200958
          82      3.2633     3.19101   0.0198706
          83     3.30652      3.1924   0.0196798
          84     3.33857     3.19414   0.0195223
          85      3.3037     3.19543   0.0193351
          86     3.31364     3.19681   0.0191591
          87     3.30329     3.19803   0.0189779
          88     3.29058     3.19908   0.0187914
          89     3.27205      3.1999   0.0185981
          90     3.27456     3.20073     0.01841
          91     3.29347     3.20175   0.0182359
          92     3.33622     3.20321   0.0180961
          93     3.31794     3.20445   0.0179435
          94     3.30786     3.20555   0.0177863
          95     3.30628     3.20661   0.0176307
          96     3.25708     3.20713   0.0174549
          97      3.2582     3.20766   0.0172829
          98     3.26872     3.20828   0.0171178
          99     3.30916      3.2093   0.0169751
         100      3.2935     3.21014   0.0168263
