#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.29461     3.29461           0
           2     3.31053     3.30257  0.00562851
           3     3.27042     3.29185  0.00951921
           4     3.25969     3.28381  0.00997256
           5      3.2562     3.27829   0.0093838
           6     3.31489     3.28439  0.00960037
           7     3.30503     3.28734  0.00867001
           8     3.30452     3.28949  0.00784763
           9     3.30766     3.29151  0.00723084
          10     3.34317     3.29667  0.00814687
          11      3.2903     3.29609  0.00742681
          12     3.28522     3.29519  0.00686298
          13     3.28509     3.29441  0.00637883
          14     3.28923     3.29404  0.00593393
          15     3.34243     3.29727  0.00635506
          16     3.29794     3.29731  0.00595801
          17      3.2849     3.29658  0.00565205
          18     3.26615     3.29489  0.00558506
          19     3.28366      3.2943   0.0053223
          20     3.26126     3.29265  0.00530635
          21     3.21468     3.28893  0.00621834
          22     3.25094     3.28721  0.00617078
          23     3.31946     3.28861  0.00605975
          24     3.31692     3.28979  0.00592099
          25      3.2863     3.28965   0.0056858
          26     3.27242     3.28899  0.00550558
          27      3.2745     3.28845  0.00532774
          28     3.28789     3.28843   0.0051375
          29     3.26451      3.2876  0.00502611
          30     3.28507     3.28752  0.00485928
          31     3.33753     3.28913  0.00496312
          32     3.32739     3.29033  0.00494994
          33     3.30636     3.29081  0.00482373
          34     3.31711     3.29159  0.00474343
          35     3.33177     3.29274  0.00474483
          36     3.38733     3.29536  0.00529086
          37     3.40136     3.29823  0.00587242
          38     3.33731     3.29926  0.00580723
          39       3.308     3.29948  0.00566265
          40     3.29369     3.29934  0.00552293
          41     3.26978     3.29862  0.00543508
          42     3.28434     3.29828   0.0053163
          43     3.32876     3.29898  0.00523973
          44     3.32834     3.29965  0.00516294
          45     3.29951     3.29965   0.0050482
          46     3.28975     3.29943  0.00494304
          47     3.27226     3.29886  0.00487156
          48     3.24662     3.29777   0.0048901
          49     3.23314     3.29645    0.004965
          50     3.26986     3.29592   0.0048941
          51     3.26281     3.29527  0.00484098
          52      3.2674     3.29473  0.00477746
          53     3.27106     3.29428  0.00470815
          54     3.26977     3.29383  0.00464279
          55     3.28978     3.29376  0.00455897
          56     3.29362     3.29375  0.00447756
          57     3.31173     3.29407   0.0044101
          58     3.28064     3.29384  0.00434014
          59     3.31811     3.29425  0.00428603
          60     3.30512     3.29443  0.00421842
          61     3.24394      3.2936  0.00422969
          62     3.23682     3.29269  0.00425947
          63     3.26689     3.29228  0.00421149
          64     3.28065      3.2921  0.00414961
          65     3.25583     3.29154   0.0041231
          66      3.2747     3.29128  0.00406851
          67     3.27302     3.29101   0.0040169
          68     3.28028     3.29085  0.00396093
          69     3.29069     3.29085  0.00390353
          70     3.27096     3.29057  0.00385809
          71     3.23634      3.2898  0.00387861
          72     3.28359     3.28972   0.0038257
          73     3.30945     3.28999  0.00378283
          74     3.32081      3.2904  0.00375456
          75     3.29291     3.29044  0.00370465
          76     3.29379     3.29048  0.00365617
          77     3.32369     3.29091  0.00363404
          78     3.32476     3.29135  0.00361326
          79     3.31723     3.29167  0.00358235
          80     3.29618     3.29173  0.00353801
          81     3.28053     3.29159  0.00349703
          82     3.33303      3.2921  0.00349072
          83     3.29923     3.29218  0.00344972
          84     3.29417     3.29221  0.00340873
          85     3.31581     3.29248  0.00337992
          86     3.33551     3.29298  0.00337744
          87     3.30972     3.29318  0.00334409
          88     3.27456     3.29297  0.00331277
          89     3.22055     3.29215  0.00337399
          90     3.24743     3.29165   0.0033729
          91     3.27762      3.2915  0.00333936
          92     3.26653     3.29123  0.00331408
          93     3.26494     3.29095  0.00329048
          94     3.26051     3.29062  0.00327136
          95     3.27117     3.29042  0.00324333
          96     3.24776     3.28997  0.00323984
          97     3.31261     3.29021  0.00321483
          98     3.34012     3.29072  0.00322212
          99     3.31764     3.29099  0.00320104
         100      3.3286     3.29136  0.00319105
