#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.063223   -0.063223           0
           2  -0.0487798  -0.0560014  0.00510645
           3  -0.0737449  -0.0619159  0.00590848
           4  -0.0421348  -0.0569706  0.00616268
           5   -0.073826  -0.0603417  0.00577907
           6  -0.0486097  -0.0583864  0.00513604
           7  -0.0634188  -0.0591053  0.00445235
           8  -0.0629123  -0.0595812  0.00392116
           9  -0.0490504  -0.0584111  0.00365588
          10  -0.0736149  -0.0599315  0.00359255
          11  -0.0421403  -0.0583141  0.00361173
          12    -0.07395  -0.0596171  0.00353799
          13  -0.0483452    -0.05875  0.00337041
          14  -0.0637253  -0.0591054  0.00314835
          15  -0.0626012  -0.0593384  0.00294707
          16  -0.0493242  -0.0587125  0.00282856
          17  -0.0734784  -0.0595811  0.00279235
          18  -0.0421527  -0.0586129  0.00280006
          19  -0.0740686  -0.0594263  0.00276833
          20  -0.0480862  -0.0588593  0.00268736
          21   -0.064033  -0.0591057  0.00257065
          22  -0.0622959  -0.0592507  0.00245789
          23   -0.049611  -0.0588316  0.00238649
          24  -0.0733797  -0.0594378  0.00236279
          25  -0.0421975  -0.0587481  0.00236677
          26  -0.0743488  -0.0593482  0.00235057
          27  -0.0480153  -0.0589284  0.00230068
          28  -0.0648751  -0.0591408   0.0022283
          29  -0.0633808   -0.059287  0.00215625
          30  -0.0513798  -0.0590234  0.00210042
          31  -0.0815108  -0.0597488  0.00215429
          32  -0.0482834  -0.0593906  0.00211655
          33   -0.126828  -0.0614341  0.00287437
          34   -0.193908  -0.0653304   0.0047453
          35   -0.264666  -0.0710257  0.00726355
          36   -0.101978  -0.0718855  0.00711249
          37   -0.459459  -0.0823605   0.0124358
          38   -0.920886   -0.104427   0.0249145
          39   -0.207454   -0.107069   0.0244153
          40   -0.130658   -0.107658    0.023812
          41  -0.0344187   -0.105872   0.0232982
          42   -0.375836     -0.1123   0.0236135
          43   -0.851807   -0.129498   0.0286505
          44   -0.412541    -0.13593   0.0287124
          45   -0.107084   -0.135289   0.0280815
          46   -0.128027   -0.135132   0.0274715
          47   -0.402546   -0.140821   0.0274699
          48    -0.19522   -0.141955    0.026921
          49   -0.406132   -0.147346    0.026906
          50   -0.366752   -0.151734   0.0267233
          51    -0.23718   -0.153409   0.0262518
          52   -0.122147   -0.152808   0.0257538
          53   -0.177231   -0.153269    0.025272
          54   -0.233565   -0.154756   0.0248477
          55   -0.340421   -0.158132   0.0246242
          56   -0.446432    -0.16328   0.0247168
          57   -0.433917   -0.168028    0.024735
          58   -0.397292   -0.171981   0.0246224
          59   -0.487315   -0.177325   0.0247783
          60   -0.389786   -0.180866   0.0246171
          61   -0.387283    -0.18425    0.024445
          62   -0.378763   -0.187388   0.0242512
          63   -0.226092   -0.188002    0.023874
          64   -0.289986   -0.189595   0.0235541
          65   -0.321911   -0.191631   0.0232795
          66   -0.342136   -0.193911   0.0230382
          67   -0.450898   -0.197747   0.0230115
          68   -0.414672   -0.200937   0.0228931
          69   -0.354213   -0.203159   0.0226688
          70   -0.372316   -0.205575   0.0224734
          71   -0.415388    -0.20853   0.0223504
          72   -0.390583   -0.211059   0.0221825
          73   -0.386981   -0.213469   0.0220091
          74   -0.305874   -0.214717   0.0217471
          75   -0.298007   -0.215828   0.0214855
          76   -0.278474   -0.216652   0.0212186
          77   -0.325618   -0.218067   0.0209902
          78   -0.307292   -0.219211   0.0207522
          79   -0.291635   -0.220128   0.0205098
          80   -0.327062   -0.221465   0.0202969
          81   -0.331319   -0.222821   0.0200916
          82   -0.296333   -0.223717   0.0198666
          83    -0.33953   -0.225113   0.0196761
          84   -0.371281   -0.226853   0.0195187
          85   -0.336676   -0.228145   0.0193318
          86   -0.346602   -0.229522    0.019156
          87   -0.336312    -0.23075   0.0189751
          88   -0.323272   -0.231801   0.0187886
          89   -0.304951   -0.232623   0.0185954
          90   -0.307408   -0.233454   0.0184074
          91   -0.326332   -0.234475   0.0182334
          92   -0.369219   -0.235939   0.0180939
          93    -0.35071   -0.237173   0.0179414
          94   -0.340715   -0.238275   0.0177843
          95   -0.339044   -0.239336   0.0176287
          96   -0.289816   -0.239861   0.0174529
          97   -0.291029   -0.240389    0.017281
          98   -0.301734   -0.241015    0.017116
          99   -0.341956   -0.242034   0.0169734
         100   -0.326282   -0.242877   0.0168246
