#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0694564  -0.0694564           0
           2  -0.0804642  -0.0749603  0.00389185
           3  -0.0890329  -0.0796511  0.00462615
           4  -0.0932864  -0.0830599  0.00455557
           5  -0.0910543  -0.0846588  0.00391499
           6  -0.0836629  -0.0844928  0.00326601
           7  -0.0732157  -0.0828818  0.00317198
           8  -0.0618384  -0.0802514  0.00370912
           9  -0.0514339  -0.0770494  0.00447029
          10  -0.0421956  -0.0735641  0.00520766
          11  -0.0362748  -0.0701741  0.00573236
          12   -0.032922  -0.0670698    0.006037
          13  -0.0319409  -0.0643676  0.00614771
          14  -0.0332896  -0.0621477  0.00609621
          15  -0.0370238  -0.0604728  0.00591541
          16  -0.0434983  -0.0594119  0.00564003
          17   -0.052951  -0.0590318  0.00532106
          18  -0.0636011  -0.0592857  0.00503149
          19  -0.0749778  -0.0601116  0.00483399
          20   -0.085064  -0.0613592  0.00475056
          21   -0.091823  -0.0628099  0.00474066
          22  -0.0930563  -0.0641847  0.00472033
          23  -0.0878818   -0.065215  0.00462617
          24  -0.0788383  -0.0657826  0.00446811
          25  -0.0676547  -0.0658575  0.00429001
          26  -0.0565633     -0.0655  0.00413987
          27    -0.04667  -0.0648026  0.00404486
          28  -0.0389469  -0.0638792  0.00400442
          29  -0.0343397  -0.0628606  0.00399379
          30  -0.0321528   -0.061837  0.00398968
          31  -0.0323053  -0.0608844  0.00397309
          32   -0.034804  -0.0600694  0.00393163
          33  -0.0397361  -0.0594532  0.00386047
          34  -0.0479317  -0.0591143  0.00376177
          35  -0.0579512  -0.0590811  0.00365444
          36  -0.0691592  -0.0593611  0.00356363
          37     -0.0802  -0.0599243  0.00351154
          38   -0.088854  -0.0606856  0.00350069
          39  -0.0932586  -0.0615208  0.00350915
          40  -0.0911972  -0.0622627  0.00349897
          41     -0.0839  -0.0627904  0.00345319
          42  -0.0735082  -0.0630456  0.00338039
          43  -0.0621276  -0.0630243  0.00330184
          44  -0.0516806  -0.0627665  0.00323685
          45  -0.0424004  -0.0623139  0.00319641
          46  -0.0363941  -0.0617504   0.0031762
          47  -0.0329786  -0.0611382  0.00316706
          48  -0.0319369  -0.0605299  0.00315897
          49  -0.0332249  -0.0599726  0.00314327
          50   -0.036896  -0.0595111   0.0031141
          51  -0.0432689  -0.0591926  0.00306928
          52  -0.0526973  -0.0590677   0.0030128
          53  -0.0633088  -0.0591477  0.00295701
          54   -0.074689  -0.0594355  0.00291623
          55   -0.084839  -0.0598974  0.00289955
          56  -0.0917087  -0.0604655  0.00290288
          57  -0.0931044  -0.0610381  0.00290788
          58  -0.0880761  -0.0615043  0.00289487
          59  -0.0791104  -0.0618027  0.00286115
          60  -0.0679518  -0.0619052   0.0028153
          61  -0.0568353   -0.061822  0.00277037
          62  -0.0469286  -0.0615818  0.00273608
          63  -0.0390994   -0.061225  0.00271583
          64  -0.0344281  -0.0608063  0.00270547
          65  -0.0321797  -0.0603659  0.00269946
          66   -0.032272  -0.0599402  0.00269191
          67   -0.034709  -0.0595636  0.00267794
          68  -0.0395768  -0.0592697  0.00265464
          69   -0.047687  -0.0591018  0.00262147
          70  -0.0576749  -0.0590814   0.0025841
          71   -0.068862  -0.0592192  0.00255137
          72  -0.0799342  -0.0595069  0.00253211
          73  -0.0886619  -0.0599063  0.00252872
          74  -0.0932268  -0.0603566  0.00253432
          75  -0.0913263  -0.0607695  0.00253395
          76  -0.0841348  -0.0610769  0.00251919
          77  -0.0737999  -0.0612422  0.00249189
          78  -0.0624174  -0.0612572  0.00245998
          79  -0.0519288  -0.0611391  0.00243168
          80  -0.0426068  -0.0609075  0.00241229
          81  -0.0365151  -0.0606063  0.00240123
          82  -0.0330368  -0.0602701  0.00239537
          83  -0.0319345  -0.0599287  0.00239071
          84  -0.0331618  -0.0596101   0.0023834
          85  -0.0367699  -0.0593414  0.00237045
          86  -0.0430572   -0.059152  0.00235044
          87  -0.0524449  -0.0590749  0.00232469
          88  -0.0630171  -0.0591197   0.0022987
          89  -0.0743994  -0.0592914  0.00227928
          90  -0.0846115  -0.0595728  0.00227125
          91  -0.0915907  -0.0599246  0.00227338
          92  -0.0931485  -0.0602857  0.00227717
          93  -0.0882776  -0.0605867  0.00227249
          94  -0.0793809  -0.0607867  0.00225709
          95   -0.068249  -0.0608652   0.0022347
          96  -0.0571083  -0.0608261  0.00221177
          97  -0.0471683  -0.0606853  0.00219344
          98  -0.0392535  -0.0604666  0.00218193
          99  -0.0345181  -0.0602045  0.00217558
         100  -0.0322082  -0.0599245  0.00217176
