#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.02034     2.02034           0
           2     2.01108     2.01571  0.00327469
           3     2.02723     2.01955  0.00382071
           4     2.00664     2.01632  0.00400264
           5     2.02734     2.01852  0.00376013
           6     2.01084     2.01724  0.00334462
           7     2.02061     2.01772  0.00290132
           8     2.02014     2.01803  0.00255426
           9     2.01125     2.01727  0.00237871
          10     2.02714     2.01826  0.00233664
          11     2.00664      2.0172  0.00235075
          12     2.02742     2.01805  0.00230376
          13     2.01067     2.01749  0.00219555
          14     2.02082     2.01772  0.00205156
          15     2.01993     2.01787  0.00192006
          16     2.01143     2.01747  0.00184173
          17     2.02705     2.01803  0.00181767
          18     2.00666      2.0174  0.00182327
          19     2.02749     2.01793    0.001803
          20      2.0105     2.01756  0.00175074
          21     2.02102     2.01772   0.0016751
          22     2.01973     2.01782  0.00160144
          23     2.01162     2.01755  0.00155428
          24     2.02699     2.01794  0.00153855
          25     2.00669     2.01749  0.00154142
          26     2.02768     2.01788  0.00153111
          27     2.01046     2.01761  0.00149888
          28     2.02158     2.01775  0.00145205
          29     2.02047     2.01784  0.00140501
          30      2.0128     2.01768  0.00136818
          31     2.03253     2.01815  0.00140547
          32     2.01061     2.01792  0.00138116
          33     2.06276     2.01928  0.00189328
          34     2.10681     2.02185  0.00313203
          35     2.15558     2.02567  0.00484129
          36     2.04615     2.02624  0.00474013
          37     2.28365      2.0332  0.00826821
          38     2.59293     2.04793   0.0166153
          39     2.11671     2.04969   0.0162826
          40     2.06561     2.05009   0.0158804
          41     2.00124      2.0489   0.0155377
          42      2.2279     2.05316   0.0157414
          43     2.54859     2.06468   0.0191328
          44     2.25149     2.06893   0.0191632
          45     2.04968      2.0685   0.0187421
          46     2.06389      2.0684   0.0183349
          47     2.24777     2.07222   0.0183377
          48     2.10606     2.07292   0.0179692
          49     2.24816      2.0765   0.0179549
          50     2.22321     2.07943   0.0178339
          51     2.13638     2.08055   0.0175192
          52     2.05942     2.08014    0.017187
          53     2.09631     2.08045   0.0168654
          54     2.13372     2.08143   0.0165819
          55     2.20482     2.08368   0.0164315
          56     2.27573     2.08711   0.0164921
          57     2.26748     2.09027   0.0165035
          58     2.24236     2.09289    0.016426
          59     2.30271     2.09645   0.0165281
          60     2.23761      2.0988   0.0164192
          61     2.23623     2.10106   0.0163039
          62     2.23103     2.10315   0.0161751
          63     2.12933     2.10357   0.0159237
          64     2.17124     2.10462     0.01571
          65     2.19268     2.10598   0.0155266
          66     2.20605      2.1075   0.0153652
          67     2.27854     2.11005   0.0153464
          68     2.25465     2.11217   0.0152674
          69     2.21427     2.11365   0.0151176
          70     2.22612     2.11526   0.0149868
          71     2.25501     2.11723   0.0149044
          72     2.23844     2.11891   0.0147922
          73      2.2361     2.12052   0.0146764
          74     2.18204     2.12135   0.0145016
          75      2.1769     2.12209   0.0143271
          76     2.16376     2.12264   0.0141491
          77     2.19519     2.12358   0.0139967
          78     2.18302     2.12434    0.013838
          79     2.17258     2.12495   0.0136763
          80     2.19608     2.12584   0.0135342
          81     2.19901     2.12675   0.0133972
          82     2.17554     2.12734    0.013247
          83     2.20435     2.12827   0.0131199
          84     2.22571     2.12943   0.0130149
          85     2.20247     2.13029   0.0128901
          86     2.20909      2.1312   0.0127727
          87     2.20219     2.13202    0.012652
          88     2.19372     2.13272   0.0125276
          89     2.18137     2.13327   0.0123988
          90     2.18304     2.13382   0.0122733
          91     2.19565      2.1345   0.0121572
          92     2.22415     2.13547   0.0120641
          93     2.21196      2.1363   0.0119624
          94     2.20524     2.13703   0.0118576
          95     2.20419     2.13774   0.0117538
          96     2.17139     2.13809   0.0116366
          97     2.17213     2.13844   0.0115219
          98     2.17915     2.13885   0.0114118
          99     2.20611     2.13953   0.0113168
         100     2.19567     2.14009   0.0112175
