#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.1964      2.1964           0
           2     2.20702     2.20171  0.00375234
           3     2.18028     2.19457  0.00634614
           4     2.17313     2.18921  0.00664837
           5      2.1708     2.18553  0.00625587
           6     2.20993     2.18959  0.00640025
           7     2.20336     2.19156  0.00578001
           8     2.20301     2.19299  0.00523175
           9     2.20511     2.19434  0.00482056
          10     2.22878     2.19778  0.00543125
          11     2.19353      2.1974  0.00495121
          12     2.19014     2.19679  0.00457532
          13     2.19006     2.19627  0.00425255
          14     2.19282     2.19603  0.00395595
          15     2.22829     2.19818  0.00423671
          16     2.19863     2.19821  0.00397201
          17     2.18994     2.19772  0.00376803
          18     2.17744     2.19659  0.00372337
          19      2.1891      2.1962   0.0035482
          20     2.17417      2.1951  0.00353756
          21     2.14312     2.19262  0.00414556
          22      2.1673     2.19147  0.00411385
          23     2.21297     2.19241  0.00403984
          24     2.21128     2.19319  0.00394733
          25     2.19086      2.1931  0.00379053
          26     2.18161     2.19266  0.00367039
          27       2.183      2.1923  0.00355183
          28     2.19192     2.19229    0.003425
          29     2.17634     2.19174  0.00335074
          30     2.19005     2.19168  0.00323952
          31     2.22502     2.19276  0.00330875
          32     2.21826     2.19355  0.00329996
          33     2.20424     2.19388  0.00321582
          34      2.2114     2.19439  0.00316229
          35     2.22118     2.19516  0.00316322
          36     2.25822     2.19691  0.00352724
          37     2.26757     2.19882  0.00391495
          38     2.22487      2.1995  0.00387148
          39     2.20533     2.19965   0.0037751
          40     2.19579     2.19956  0.00368196
          41     2.17985     2.19908  0.00362339
          42     2.18956     2.19885   0.0035442
          43     2.21918     2.19932  0.00349316
          44     2.21889     2.19977  0.00344196
          45     2.19967     2.19977  0.00336547
          46     2.19317     2.19962  0.00329536
          47     2.18151     2.19924  0.00324771
          48     2.16441     2.19851  0.00326007
          49     2.15542     2.19763     0.00331
          50     2.17991     2.19728  0.00326273
          51     2.17521     2.19684  0.00322732
          52     2.17827     2.19649  0.00318497
          53     2.18071     2.19619  0.00313876
          54     2.17985     2.19589   0.0030952
          55     2.19318     2.19584  0.00303931
          56     2.19574     2.19584  0.00298504
          57     2.20782     2.19605  0.00294007
          58     2.18709     2.19589  0.00289343
          59     2.21207     2.19617  0.00285735
          60     2.20342     2.19629  0.00281228
          61     2.16263     2.19574  0.00281979
          62     2.15788     2.19512  0.00283965
          63     2.17793     2.19485  0.00280766
          64      2.1871     2.19473   0.0027664
          65     2.17056     2.19436  0.00274873
          66     2.18313     2.19419  0.00271234
          67     2.18202     2.19401  0.00267794
          68     2.18685      2.1939  0.00264062
          69      2.1938      2.1939  0.00260235
          70     2.18064     2.19371  0.00257206
          71     2.15756      2.1932  0.00258574
          72     2.18906     2.19314  0.00255047
          73      2.2063     2.19332  0.00252188
          74     2.21387      2.1936  0.00250304
          75     2.19527     2.19362  0.00246977
          76     2.19586     2.19365  0.00243745
          77     2.21579     2.19394  0.00242269
          78     2.21651     2.19423  0.00240884
          79     2.21149     2.19445  0.00238823
          80     2.19745     2.19449  0.00235867
          81     2.18702     2.19439  0.00233135
          82     2.22202     2.19473  0.00232714
          83     2.19949     2.19479  0.00229981
          84     2.19612      2.1948  0.00227249
          85     2.21054     2.19499  0.00225328
          86     2.22367     2.19532  0.00225163
          87     2.20648     2.19545   0.0022294
          88     2.18304     2.19531  0.00220852
          89     2.14703     2.19477  0.00224933
          90     2.16495     2.19444   0.0022486
          91     2.18508     2.19433  0.00222624
          92     2.17769     2.19415  0.00220938
          93     2.17662     2.19396  0.00219365
          94     2.17368     2.19375  0.00218091
          95     2.18078     2.19361  0.00216222
          96     2.16518     2.19332  0.00215989
          97     2.20841     2.19347  0.00214322
          98     2.22675     2.19381  0.00214808
          99     2.21176     2.19399  0.00213402
         100     2.21907     2.19424  0.00212736
