x	y	z
-0.25016245	 -0.77655793	 1.39740892	 
1.69745062	 -0.54661332	 -0.82052375	 
-2.05944866	 0.43866835	 1.30881052	 
0.65472966	 -0.95922355	 -1.03687527	 
2.79968650	 -1.06935201	 3.06171292	 
-0.13216308	 -0.37605382	 -0.58252543	 
-1.78203572	 -0.16675134	 -1.89516242	 
-0.21895030	 1.00235932	 1.56008999	 
-0.04076253	 -2.23710470	 0.82262969	 
0.35590488	 0.00940286	 1.51056957	 
-1.21880314	 0.24857428	 0.88745966	 
-1.24153977	 0.91012520	 0.44196354	 
-0.88164550	 -0.13959370	 0.26385350	 
-0.20513267	 -0.22977037	 -0.04329120	 
0.26204094	 0.35981539	 0.28452442	 
-0.41416308	 -0.37829432	 -0.06884001	 
0.22739793	 -0.28923548	 0.58789987	 
-1.03280071	 -1.16289563	 -1.96652863	 
-1.41191771	 0.65964208	 0.38317575	 
-0.57121299	 1.21828179	 -3.49225721	 
0.42371139	 -0.30585561	 0.93754134	 
0.72416639	 0.16451622	 0.04036794	 
-0.01486101	 0.07656395	 0.18583492	 
-0.41700267	 2.42977363	 -0.12592049	 
-0.43776494	 -1.48644692	 0.77271331	 
2.29664959	 -1.57374656	 1.10766537	 
-0.65104575	 -1.14206444	 -1.22231979	 
0.52477859	 -1.54021450	 -2.13896229	 
-0.74082244	 0.47471056	 -0.16956445	 
0.06136693	 -1.32074807	 -0.53866013	 
-0.12148495	 -0.24769355	 -0.33127761	 
0.27155608	 -0.09098580	 -0.42749122	 
-2.11390073	 0.42545750	 1.52644591	 
0.05924574	 -0.24548938	 0.74944378	 
-0.23907623	 -4.25094748	 4.45640342	 
1.15531908	 0.48169362	 1.03145691	 
1.27186167	 1.65343630	 -1.07100697	 
0.08405284	 -1.14261687	 0.22885901	 
0.80530438	 0.29995445	 1.53355858	 
0.18393729	 -0.15471241	 0.66267031	 
-0.09574467	 -0.07365322	 -0.27066929	 
-1.16559676	 0.86064352	 1.07029057	 
-0.56158818	 1.76243485	 -0.56349474	 
1.02730817	 -0.90589946	 0.16286655	 
-0.44890442	 0.02354427	 0.37936009	 
0.63441224	 0.08362385	 0.19280469	 
0.03029502	 -1.05738238	 1.72535218	 
1.20951808	 -1.23786308	 -1.24435874	 
0.49233229	 0.14746284	 -1.16633680	 
-0.29419206	 -0.63813094	 1.18961833	 
-0.00953229	 2.38093945	 0.90733299	 
0.23539838	 0.10002496	 -2.86095029	 
-0.80687231	 -1.59683790	 -0.47619637	 
0.66067206	 -0.03421979	 -0.45174589	 
-0.14273309	 -0.05028946	 0.54796459	 
0.12095488	 0.13310686	 -0.32436604	 
1.55710911	 0.60296056	 0.04340545	 
0.24556244	 0.89300780	 0.42167263	 
-0.69005301	 0.45606371	 -0.88615747	 
-0.18744732	 0.04491642	 0.65471217	 
-0.06417614	 0.82806606	 0.79356948	 
0.28615372	 0.07873792	 -0.28058347	 
0.08331768	 -0.14816397	 0.47248679	 
-0.16441466	 1.08301480	 1.48079454	 
0.03969052	 -0.47650184	 0.62845708	 
-0.54929322	 -1.25166466	 -0.41670471	 
-1.38611955	 0.71851758	 -2.75566213	 
0.54226528	 -0.63099487	 -0.29641323	 
-0.22605118	 0.63959225	 0.69744951	 
-0.45151999	 -0.32929885	 0.30575416	 
-0.21590261	 -0.23699931	 1.68944706	 
1.44943512	 0.95741329	 -1.04683238	 
0.25029678	 1.50099566	 -1.08209514	 
-0.77065675	 1.12705665	 0.28822477	 
-1.18003398	 -0.33320839	 0.03336865	 
0.61647236	 0.12667773	 -0.05430161	 
-0.32574720	 -1.98001742	 -0.92313426	 
-0.19056175	 0.39782638	 -0.43299231	 
-1.15872115	 1.38944797	 1.48242649	 
-1.19792334	 0.37637654	 -0.68036952	 
-0.45006286	 -2.76476766	 0.45522476	 
1.60327407	 -1.22517195	 1.13148523	 
-0.15196906	 -3.40447227	 2.97260743	 
1.07577723	 0.17976996	 1.10842223	 
0.66923533	 0.56659402	 0.05801506	 
0.99918829	 0.21745811	 -0.67130710	 
2.14552641	 1.24163154	 -2.38642493	 
-0.05807109	 -0.07492306	 0.00564217	 
3.82704581	 2.15878842	 3.03410560	 
0.66222440	 1.14591296	 -0.01347115	 
-0.70847580	 0.99679990	 -0.41709505	 
0.28080159	 -0.62939587	 2.84185688	 
0.44240565	 1.07634808	 -0.41818720	 
0.20354844	 -0.80277214	 -0.36553374	 
-1.12102948	 0.88563205	 0.37788054	 
-0.31677208	 -0.14223776	 -0.36313772	 
-0.46927813	 -0.07896298	 0.79178906	 
-0.09931638	 0.94345190	 0.21151639	 
-0.20818174	 -0.05883216	 -0.26707917	 
-0.29736258	 2.75993461	 -1.94073234	 
0.33040820	 -1.44420841	 0.05921596	 
-0.05287118	 -0.05411336	 -1.25836026	 
-0.02201094	 0.73592197	 0.39005159	 
-1.10422224	 0.47728039	 0.42396936	 
1.18709558	 0.18797824	 0.71115390	 
1.26073256	 0.07901084	 -0.81154182	 
-0.69679102	 -0.83925462	 -0.21209935	 
0.42707115	 1.96736087	 0.78392356	 
0.03229960	 -0.58605454	 -0.06242288	 
1.50951256	 1.61495632	 -1.48538329	 
0.41649441	 0.42768211	 -0.23066059	 
-0.32800634	 -1.63152618	 1.28117152	 
0.07707559	 2.18715451	 -0.27725162	 
0.45607597	 -0.71210039	 -0.64245345	 
0.40540757	 -0.96512172	 -0.34357267	 
0.38113036	 0.88036131	 1.17927518	 
-0.72060634	 -0.12565562	 0.90700109	 
-0.08339537	 0.22610253	 -0.75456738	 
-1.19026920	 -0.83387582	 -1.03354265	 
0.47900395	 0.94585774	 0.74902701	 
-0.91104552	 0.91645837	 -0.63448114	 
0.10871072	 0.89564818	 -0.38771568	 
-0.76949375	 -2.30736281	 -0.14882046	 
-0.48541545	 2.40159790	 -0.23485568	 
1.21573669	 0.95703512	 -0.95493881	 
-0.29353767	 0.65982142	 -0.46631507	 
-1.98475701	 -1.07675004	 -0.74448193	 
2.05146620	 0.81714911	 -0.72333237	 
-0.69145436	 1.59041890	 -0.07160724	 
-0.56123240	 -0.45883298	 -1.20024794	 
-1.40010935	 0.85499336	 -0.69641541	 
-0.28513298	 -1.04073558	 0.00694077	 
-0.63186014	 0.37279895	 0.53561633	 
0.43708474	 -0.06275788	 -0.29504447	 
-0.53662675	 -0.00323659	 -0.75799886	 
-0.01482193	 0.69998132	 1.15898335	 
-0.32302007	 0.14977663	 -1.02455515	 
-0.18313415	 -1.78105007	 -1.17899107	 
0.55304002	 -0.45957009	 1.89671760	 
-0.54924758	 -0.18405706	 0.33151587	 
0.51791372	 0.01848581	 0.43481529	 
0.53931133	 -1.22896588	 0.27374606	 
0.73827008	 0.44844642	 1.37270245	 
-0.58912516	 0.86187385	 -0.48593021	 
-0.38055477	 0.81809759	 -1.06965553	 
1.07677041	 2.39365389	 1.15536702	 
-0.74203293	 -0.15710371	 -1.24110736	 
-0.32079162	 0.79691881	 -0.03590122	 
-1.63282055	 -0.04486520	 -0.11324525	 
1.63499148	 -1.07785674	 0.60614104	 
1.48992935	 -2.01128551	 -0.38546606	 
-1.31524533	 0.70188824	 0.23796248	 
0.43430647	 -0.09454710	 0.13487504	 
0.84592692	 -0.86101659	 1.08966579	 
-1.12664567	 0.33715042	 0.06199702	 
1.13287706	 1.04317613	 -1.84344880	 
-0.48833923	 -0.99310485	 0.23016467	 
-0.24306995	 -0.63142461	 -0.03049547	 
-0.66488297	 -0.30892135	 -0.33061670	 
-1.41274921	 -0.14730121	 0.53068603	 
0.46507270	 -1.17186031	 -0.40152628	 
0.43443544	 0.15106874	 0.89948055	 
-0.36439670	 -1.88656061	 0.19323676	 
-0.58735756	 0.57677648	 -0.45858703	 
-0.48425951	 1.01228013	 -1.84337291	 
-0.50060388	 -0.64343722	 -0.37590848	 
-0.84970385	 1.25914026	 1.19178645	 
-0.77629433	 -0.58148722	 0.73062329	 
0.53010709	 0.19228799	 -0.00054449	 
