x	y	z
-0.16526416	 0.73238304	 -1.00270099	 
-1.26576854	 0.18917496	 0.17305596	 
0.49059452	 -0.46712369	 0.15705922	 
0.26068872	 -0.26913468	 -0.16373857	 
1.71099539	 -3.06871971	 0.35408638	 
0.83728187	 -0.75715109	 -0.49849792	 
-0.78041465	 0.39402995	 -0.20889032	 
0.07830628	 0.86642782	 0.71457558	 
-0.45181266	 0.07139352	 -1.25741932	 
0.70180495	 -0.21489153	 -0.58037084	 
-1.74136132	 -1.36181207	 -0.68866140	 
1.08800403	 1.16240034	 -2.14221496	 
-1.72636849	 -0.88128224	 0.41771588	 
0.88877705	 0.21543613	 -0.34632789	 
0.78804448	 -0.64254675	 -0.14080803	 
-1.47410279	 -0.80526018	 -0.64593235	 
1.02895993	 -1.03060873	 1.81425437	 
-0.55202494	 -1.11893162	 0.41483149	 
-0.51443487	 0.15531916	 -0.54418545	 
0.14122975	 -2.15453622	 1.51945366	 
0.35123677	 -0.51326929	 0.15032949	 
0.03550434	 0.64136071	 -0.26030098	 
-3.50876675	 1.42263198	 1.35920939	 
-0.35667828	 -0.49710989	 -0.56966811	 
0.06561337	 -0.90667172	 1.52885211	 
-0.22350653	 0.85448919	 -1.01744685	 
1.84765657	 2.10473309	 1.02104470	 
-1.09983980	 -0.43734323	 0.91452525	 
1.41476919	 0.38610488	 1.77004634	 
-1.22267956	 0.75612473	 1.29742691	 
0.13785429	 -0.46376604	 0.32637052	 
0.85082171	 -0.72329510	 -0.28297986	 
-0.04180276	 -1.20922821	 1.81441493	 
-0.15110962	 0.10264629	 0.56166018	 
-0.78499283	 -0.09635067	 -0.01856957	 
-0.78183616	 -0.36529706	 0.22243468	 
-0.53162468	 -1.88299104	 0.73735992	 
-1.08044817	 0.52675161	 -1.60817063	 
0.66026046	 1.32001562	 0.42607741	 
-0.53052352	 -0.15337362	 0.50213570	 
0.96658108	 0.02910919	 -0.72326781	 
0.23334092	 0.12015244	 -0.47305975	 
-0.09097428	 0.39400250	 0.12832843	 
2.13374420	 0.72869778	 0.67335094	 
-1.16701376	 -0.41004116	 -0.54499316	 
