x	y	z
-1.38582767	 -1.98448081	 -4.61306597	 
-1.40211997	 -1.41333719	 0.89796952	 
1.40682505	 -1.19735010	 8.59926767	 
-7.14254756	 -2.68701849	 -7.69229975	 
-2.64698650	 -1.71939660	 3.13527437	 
2.22728091	 -1.45492164	 -2.96112058	 
-1.01086876	 -1.08406787	 -4.86029761	 
-0.90232827	 -1.61339703	 -2.08294564	 
3.11732784	 -3.61037469	 -5.26708085	 
3.20750874	 0.57746498	 -1.73904866	 
1.87354205	 1.46229485	 -2.64976891	 
0.63825722	 1.84335951	 -2.90980029	 
4.01364433	 1.01337572	 -3.43677190	 
-1.43301799	 -1.49911687	 -3.21943389	 
-0.50468467	 -0.01702722	 -2.21298438	 
-1.66962048	 1.96428745	 -6.65040495	 
-1.99435482	 2.37709494	 -4.39607129	 
-1.10314677	 2.03982089	 1.89934448	 
-3.62790465	 4.51529771	 -5.93788607	 
1.59099570	 -1.06600356	 3.39439628	 
0.02658823	 3.89481237	 -4.24156264	 
-2.24003695	 -1.26509224	 3.61699678	 
13.26199392	 3.61395678	 9.41466815	 
-1.52598668	 -4.61392059	 -2.39293380	 
0.11609735	 3.08697109	 1.99896619	 
-3.44252043	 -0.18233478	 1.29162646	 
0.57550975	 3.55477394	 -8.82860703	 
-4.49365979	 1.72278637	 -4.06551209	 
1.23226206	 2.37864710	 -5.01692497	 
-0.64797537	 1.27428225	 -3.17601700	 
0.84210683	 -0.55873550	 -1.61170248	 
-1.20718400	 -0.07117403	 -2.79055698	 
-3.62948068	 7.49446459	 6.51206280	 
-0.88850950	 3.57703542	 4.87696897	 
-0.67041406	 -0.42328830	 -6.62058953	 
1.01644150	 1.76976122	 1.71040405	 
1.47230743	 1.62145675	 2.88457498	 
-0.10439070	 -0.73198585	 2.41452967	 
0.40437674	 1.74640022	 -3.07334297	 
0.51986207	 2.59386969	 -1.89846485	 
-2.67262936	 -0.33753617	 3.47276110	 
-1.41157133	 -1.99834433	 -3.74108656	 
0.71692387	 -1.16944458	 1.92326468	 
0.16075303	 -3.58426294	 4.28721601	 
-3.14463022	 0.48509824	 -4.12156900	 
0.46214456	 2.14237184	 2.34959598	 
-3.39411732	 -0.48610015	 -1.03096301	 
-0.18009472	 3.63162732	 -2.66868550	 
1.60971646	 -2.81405871	 -4.17627723	 
0.58764145	 5.64626573	 6.04954913	 
4.64869590	 -0.59993103	 4.83766738	 
4.19399934	 0.96607803	 -4.19863618	 
0.35455474	 -1.08659581	 6.67933598	 
1.14284983	 -0.87350508	 2.54640630	 
-1.81368944	 2.80552592	 2.46989411	 
0.30386497	 2.01622450	 -4.62976696	 
-1.47793010	 -2.54611959	 1.87108830	 
1.38015345	 -0.57842473	 -5.34112476	 
1.81049873	 -1.89930710	 5.47371426	 
-2.96176625	 -1.53653089	 3.90211568	 
-8.79761503	 -2.61794097	 -5.13916683	 
2.27465157	 1.37487315	 3.85454180	 
0.37787261	 -0.23645097	 3.85830800	 
0.28987425	 1.27566330	 2.93982929	 
3.20963439	 -1.54676134	 -3.26660417	 
0.90899599	 0.07243366	 3.10058673	 
-0.68654769	 1.04170918	 -4.53179920	 
2.49803627	 -2.16726046	 4.90394279	 
4.46123190	 -3.55708340	 -4.10961544	 
-1.67060866	 -0.59192092	 -2.91525083	 
-0.21608915	 -1.88262804	 -1.93787930	 
-1.94573864	 1.09014347	 5.92363003	 
0.98099225	 -1.66099159	 -1.91596127	 
-3.47693318	 3.39582654	 -3.06297938	 
3.06459247	 1.83203765	 -5.56511589	 
1.38333049	 -1.27737283	 -2.30719899	 
-2.11578834	 2.76336285	 2.40999464	 
-0.95505653	 -3.77446555	 3.54653416	 
-1.82966022	 -0.85260269	 2.28007901	 
-5.55866734	 -7.41998886	 -5.93764092	 
-0.76922480	 -0.57771435	 -4.11920063	 
-1.41051718	 0.09599106	 3.68687254	 
-2.41567176	 0.66679837	 3.08569635	 
1.10092443	 -0.07026986	 -0.56114376	 
1.50516605	 6.24917296	 5.16731192	 
-3.10298012	 -1.04657166	 5.96741369	 
-1.03883310	 1.34159890	 4.29519068	 
-1.48666426	 -1.01568704	 -1.42736670	 
1.14029888	 -1.78090118	 -5.78861661	 
-2.54798795	 -0.84506550	 -6.22110847	 
0.56279826	 -1.20269562	 -5.05001030	 
2.91688922	 -0.57663705	 -2.71716021	 
1.93173784	 -1.05798911	 3.00399362	 
-3.03284697	 -3.98327139	 -2.24077732	 
1.62754423	 -0.94442455	 -1.61366618	 
-0.70298918	 1.78330496	 -5.33105100	 
5.93600723	 2.29322639	 -3.03694975	 
-0.42285759	 -1.51341115	 2.52148027	 
0.57146558	 1.68385537	 3.17246368	 
0.84262998	 -0.69325209	 -2.15921946	 
0.99111239	 -5.28506097	 -3.85906076	 
-2.19741854	 2.59064009	 4.47698302	 
-2.37475491	 -0.57514678	 1.98460422	 
-0.75715251	 -1.90870126	 5.52186001	 
1.37363173	 2.09447485	 -3.35186318	 
-1.12955363	 0.09126225	 3.68917184	 
-0.15443153	 -0.39851605	 -2.30203382	 
7.09278402	 5.25395661	 -4.02317015	 
-1.25987198	 -0.56664042	 2.79863259	 
-0.65315680	 -0.73034414	 -1.22049951	 
-1.17766261	 -2.55044569	 -1.28000108	 
4.08062344	 -0.63659249	 -6.28041173	 
4.85279455	 7.09373701	 6.07961546	 
-3.49893740	 0.28575137	 -1.89593236	 
0.42546084	 3.19598405	 -2.76338570	 
-0.17767328	 -3.04853620	 -4.89548046	 
0.95253338	 -1.19408742	 2.17524638	 
-0.57291116	 0.30497464	 -3.31014197	 
1.02663207	 2.43307967	 -3.70398267	 
-0.03671835	 -0.07240167	 2.96885114	 
0.43195893	 0.56755395	 2.99350546	 
-0.17096393	 -0.23641391	 -1.67851078	 
0.88568436	 1.83933737	 4.34535498	 
-0.14173928	 -0.07860924	 -1.39035291	 
-2.74648941	 -1.82755512	 4.63930237	 
0.60499455	 -2.56943375	 -3.28200570	 
2.74359584	 -0.48349057	 -3.46386672	 
-1.31991075	 -1.95580424	 3.90282608	 
-3.33497362	 -0.23598337	 -1.31767062	 
1.07473670	 3.60869640	 2.75955386	 
1.44484464	 -0.34337431	 -4.90642862	 
0.22742209	 -0.64095024	 -1.95249982	 
2.48106638	 1.33913556	 -4.44864213	 
0.77299269	 0.09438303	 -3.45969343	 
-0.62225182	 1.51198178	 -1.84748419	 
-0.51305147	 -0.65403484	 2.14377909	 
-2.71489929	 -2.84035505	 -3.46176893	 
-4.77932385	 6.83826795	 -8.18029774	 
2.16853091	 -6.02763138	 -6.44813597	 
-0.75216229	 -1.80412565	 -2.93653770	 
-1.17466966	 3.10380474	 -3.41628354	 
-3.35950827	 -2.79439304	 5.09545398	 
0.07998716	 0.74968815	 -5.41723016	 
2.85942772	 2.62965112	 -3.07611437	 
0.02686252	 2.05386489	 -8.79473410	 
0.70423677	 0.70247857	 -4.26278688	 
0.70380288	 -1.27692652	 4.70496947	 
0.88307565	 1.55063456	 -1.52176437	 
-1.04243032	 -0.72817551	 -6.05366212	 
-1.49604674	 -1.67121567	 -2.91640040	 
