x	y	z
-1.54785622	 0.92773050	 0.92882291	 
-3.16536501	 -7.01583561	 -4.25078158	 
-0.38299451	 0.56555498	 3.06493118	 
4.60559222	 -1.40252270	 -2.12710383	 
2.89608320	 -1.06822111	 4.27215263	 
-2.65373995	 -4.67085678	 3.02528064	 
-8.98126525	 1.23099851	 4.12396848	 
0.32130331	 0.63646039	 -1.62809443	 
-1.01187967	 2.06206661	 -5.96833238	 
-2.72353941	 0.79705795	 -2.39162633	 
2.41482281	 5.80052773	 6.56234982	 
-0.20444649	 -2.95393892	 -2.84875597	 
-0.83865407	 1.81627830	 2.73155723	 
-2.76122736	 -2.16248299	 1.53585272	 
4.18897912	 0.46378665	 7.03536347	 
0.45221932	 0.68068257	 6.51282172	 
-2.50176360	 -2.42529192	 3.60059505	 
2.06073430	 6.30656169	 -7.02309960	 
-0.60890900	 0.37898569	 -2.38521096	 
2.76677545	 6.87591271	 5.69274249	 
-4.48888026	 -2.49424236	 3.52969540	 
0.70126319	 -1.13027721	 1.91632669	 
-2.61214540	 0.75122697	 0.64757314	 
0.76348776	 0.47776913	 2.81914037	 
-3.04068773	 -0.20166841	 3.21727840	 
2.84461518	 7.02064288	 3.13770714	 
-1.51853185	 -3.32308913	 4.43289167	 
-0.15509601	 -0.01512767	 -7.19368524	 
-0.41479531	 0.35505791	 -1.14120765	 
-3.68959183	 -1.56349325	 -3.54013192	 
1.80656565	 2.76081460	 5.46485199	 
1.70829957	 -0.64052915	 4.53001363	 
-3.82215063	 -4.75657981	 -4.43793349	 
2.10675045	 -0.12083395	 3.27496168	 
1.45415821	 1.40320968	 13.40011094	 
1.58692389	 -0.27862469	 -2.07496869	 
1.02126904	 0.11918739	 1.86159150	 
0.08676171	 -0.38569490	 -2.64603945	 
1.05693855	 -3.90263095	 -5.73232654	 
1.06331429	 -0.45467310	 -2.93797491	 
-3.13992593	 1.05317751	 -1.46851065	 
0.79363340	 -2.33821801	 6.07856556	 
0.40859907	 -0.99049993	 3.05430866	 
-2.65608063	 2.81315677	 4.79581038	 
0.26357072	 -2.25220694	 1.68367658	 
-1.91985277	 4.16576545	 -5.11858915	 
1.08892609	 0.11593993	 2.70506520	 
-0.09311639	 -1.13835804	 -2.05855602	 
1.14326547	 1.91053404	 4.04899191	 
-1.06453405	 0.61345329	 2.80514419	 
-0.06305264	 -1.37606475	 -3.66549695	 
-1.67507648	 2.65649723	 2.79760957	 
-5.96763780	 2.25244747	 4.60161479	 
0.80601211	 0.62344185	 -4.65093024	 
2.05141014	 -0.76543772	 2.94057486	 
0.24797184	 0.59979243	 -2.42103004	 
-3.36899626	 -1.67369923	 -1.38770503	 
-3.85075900	 2.15538552	 6.08314624	 
0.15603748	 0.57855410	 4.97512986	 
0.80367986	 -0.09715109	 -1.28207546	 
-1.40662820	 -0.00112935	 8.51332263	 
2.65580956	 2.28704676	 2.38349912	 
-1.09184116	 -0.00806628	 2.98408490	 
3.51267706	 -6.15070514	 8.96644900	 
-2.74522873	 2.52059487	 5.98302114	 
0.05517269	 -0.02612504	 0.77219456	 
0.93279942	 -0.34362254	 2.04104305	 
0.96559569	 -2.33871182	 6.48272788	 
0.44907607	 2.51451783	 6.87797790	 
-1.32222886	 4.55782146	 4.73232389	 
3.61499663	 3.18436095	 2.48846489	 
1.29494579	 3.10846722	 8.08139698	 
-1.49906085	 0.45798331	 2.86884548	 
7.40828458	 1.11854040	 -8.79443906	 
-0.93745860	 2.12136504	 -4.28650074	 
1.08133406	 0.73535240	 7.39378691	 
-0.67135143	 1.80006739	 -1.86352090	 
0.96813717	 -1.51618620	 -1.94140391	 
-1.62971500	 -2.16481891	 2.90849579	 
-0.66426599	 1.09921314	 2.60165307	 
0.33147046	 0.41233296	 2.97608109	 
