#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     19.0388     19.0388           0
           2     15.7621     17.4004     1.15849
           3     11.9817     15.5942     1.66479
           4     18.4736     16.3141     1.39557
           5      8.0854     14.6683     1.84749
           6      8.0304      13.562     1.84126
           7     13.6325     13.5721     1.57825
           8     16.0137     13.8773     1.41017
           9     12.4571     13.7195     1.26228
          10     18.8021     14.2277     1.23415
          11     16.0247     14.3911     1.13271
          12       9.644     13.9955     1.10524
          13     16.0962     14.1571     1.03197
          14      11.938     13.9986    0.970353
          15     19.7295     14.3807    0.977989
          16      11.831     14.2213    0.929757
          17     12.7564     14.1351    0.879049
          18     14.5642      14.159    0.830537
          19     11.1695     14.0016    0.801589
          20     15.1869     14.0609    0.763697
          21     12.8108     14.0014    0.729647
          22     15.9541     14.0901    0.701859
          23     15.4875     14.1509    0.673968
          24      8.8087     13.9283    0.681653
          25     15.5782     13.9943    0.657574
          26      25.539     14.4383    0.767697
          27     11.5123     14.3299    0.746874
          28      9.2352      14.148    0.742033
          29      8.2761     13.9455    0.743558
          30     16.5234     14.0314    0.723721
          31     14.8869      14.059    0.700901
          32     13.6201     14.0453    0.679132
          33     17.6745     14.1553    0.667397
          34     16.7136     14.2305    0.651996
          35     18.5711     14.3546    0.645054
          36     12.5658     14.3049    0.629047
          37     11.9161     14.2403     0.61535
          38      21.304     14.4262    0.626604
          39     13.6855     14.4072    0.610825
          40      18.856     14.5184    0.605595
          41     17.8042     14.5986    0.596104
          42      9.2844      14.472    0.595188
          43     16.4063      14.517    0.583043
          44     19.8681     14.6386    0.582338
          45     21.2896     14.7864    0.587854
          46      8.5928     14.6518    0.590293
          47     14.7644     14.6542    0.577738
          48     17.1879      14.707    0.568109
          49     12.6303     14.6646    0.558093
          50      6.1896     14.4951    0.572092
          51     19.8753     14.6006    0.570518
          52       20.53     14.7146    0.570828
          53     16.6988      14.752    0.561284
          54     12.9094     14.7179    0.551926
          55     11.4642     14.6588    0.545052
          56      8.9619      14.557     0.54473
          57     14.2564     14.5518    0.535199
          58     16.7583     14.5898    0.527322
          59     14.6419     14.5907    0.518385
          60     11.3123      14.536    0.512617
          61     11.3417     14.4837    0.506881
          62     20.1482      14.575    0.506872
          63     14.2889     14.5705    0.498847
          64     13.0791     14.5472    0.491597
          65     17.0608     14.5859    0.485552
          66     13.7712     14.5735    0.478352
          67     12.5046     14.5426    0.472208
          68     20.6022     14.6318    0.473598
          69     15.7399     14.6478    0.467006
          70     12.3267     14.6147     0.46151
          71       9.185     14.5382    0.461303
          72     15.1023      14.546    0.454962
          73     11.7846     14.5082      0.4503
          74      14.061     14.5021    0.444255
          75      14.642      14.504    0.438336
          76      14.086     14.4985    0.432603
          77     15.6522     14.5135    0.427244
          78     20.7387     14.5933    0.429156
          79     12.0381      14.561    0.424941
          80     11.9442     14.5283    0.420886
          81     17.7367     14.5679     0.41755
          82     12.1529     14.5384    0.413495
          83     15.2478      14.547    0.408601
          84     13.3348     14.5325    0.403992
          85       14.93     14.5372    0.399266
          86      9.4338     14.4779    0.399009
          87     14.1659     14.4743    0.394439
          88     15.0164     14.4804    0.390004
          89      16.008     14.4976       0.386
          90     19.1389     14.5492     0.38514
          91     18.0705     14.5879    0.382847
          92     11.1242     14.5502    0.380532
          93     14.1897     14.5463     0.37646
          94     17.8822     14.5818    0.374124
          95     24.6152     14.6874    0.384805
          96     23.2251     14.7764    0.390939
          97     12.1706     14.7495     0.38783
          98      18.379     14.7866    0.385637
          99      9.4671     14.7328    0.385467
         100     13.0492      14.716     0.38198
