#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.246497    0.246497           0
           2    0.260551    0.253524  0.00496879
           3    0.269499    0.258849  0.00546604
           4    0.247482    0.256007  0.00478152
           5    0.249928    0.254791  0.00397679
           6    0.235361    0.251553  0.00444099
           7    0.272744     0.25458  0.00472704
           8    0.242356    0.253052  0.00437618
           9    0.262254    0.254075  0.00400759
          10    0.239998    0.252667   0.0038461
          11    0.292309    0.256271  0.00490225
          12    0.246159    0.255428  0.00456559
          13     0.25479    0.255379  0.00421465
          14    0.238061    0.254142  0.00409112
          15    0.235785    0.252918  0.00399723
          16    0.248965    0.252671  0.00375503
          17    0.239568      0.2519  0.00361239
          18    0.282585    0.253605  0.00379266
          19    0.250534    0.253443  0.00359649
          20     0.24676    0.253109  0.00343215
          21    0.244149    0.252683  0.00329513
          22    0.257554    0.252904  0.00315278
          23    0.256643    0.253067  0.00301989
          24     0.24382    0.252681  0.00291854
          25    0.237424    0.252071  0.00286489
          26    0.261681    0.252441  0.00277845
          27    0.253333    0.252474  0.00267574
          28    0.219743    0.251305    0.002824
          29    0.266759    0.251838  0.00277645
          30    0.254131    0.251914  0.00268495
          31     0.26076    0.252199  0.00261346
          32    0.254348    0.252267  0.00253265
          33    0.231153    0.251627  0.00253543
          34    0.239638    0.251274  0.00248526
          35    0.259219    0.251501   0.0024246
          36      0.2521    0.251518   0.0023573
          37    0.258015    0.251693  0.00230012
          38    0.254932    0.251779  0.00224117
          39    0.250129    0.251736   0.0021841
          40    0.272496    0.252255  0.00219029
          41    0.263751    0.252536  0.00215474
          42     0.24913    0.252455  0.00210497
          43    0.266497    0.252781  0.00208119
          44    0.262443    0.253001  0.00204544
          45    0.234855    0.252597  0.00203935
          46    0.229169    0.252088  0.00205763
          47    0.254336    0.252136  0.00201441
          48    0.243723    0.251961  0.00198006
          49    0.218693    0.251282  0.00205275
          50    0.235394    0.250964  0.00203614
          51    0.245396    0.250855  0.00199914
          52    0.242938    0.250703  0.00196648
          53     0.23318    0.250372  0.00195697
          54    0.260372    0.250557  0.00192947
          55    0.254799    0.250634  0.00189593
          56    0.230533    0.250275  0.00189575
          57    0.247817    0.250232  0.00186298
          58    0.246696    0.250171  0.00183186
          59    0.238992    0.249982  0.00181059
          60    0.236693     0.24976   0.0017939
          61    0.230796    0.249449  0.00179123
          62    0.255488    0.249547  0.00176499
          63    0.265345    0.249798   0.0017547
          64    0.266718    0.250062  0.00174708
          65    0.235472    0.249837  0.00173457
          66    0.233367    0.249588  0.00172614
          67    0.255061     0.24967  0.00170231
          68    0.248515    0.249653  0.00167736
          69    0.231961    0.249396  0.00167253
          70    0.236688    0.249215  0.00165846
          71    0.272581    0.249544  0.00166744
          72      0.2562    0.249636  0.00164684
          73    0.258996    0.249764  0.00162926
          74    0.243603    0.249681  0.00160937
          75    0.222624     0.24932  0.00162785
          76    0.241705     0.24922  0.00160951
          77    0.228362    0.248949  0.00161124
          78     0.25661    0.249048  0.00159357
          79    0.260884    0.249197  0.00158043
          80    0.231507    0.248976  0.00157607
          81    0.246845     0.24895  0.00155683
          82    0.243574    0.248884  0.00153922
          83    0.248511     0.24888  0.00152069
          84    0.260797    0.249022  0.00150919
          85    0.250338    0.249037  0.00149151
          86    0.228628      0.2488  0.00149293
          87    0.249248    0.248805  0.00147578
          88    0.249595    0.248814  0.00145903
          89     0.23257    0.248631  0.00145401
          90    0.245263    0.248594  0.00143834
          91    0.227074    0.248358  0.00144184
          92    0.249604    0.248371  0.00142623
          93     0.23556    0.248233  0.00141753
          94    0.224966    0.247986   0.0014239
          95     0.25383    0.248047  0.00141024
          96    0.244421     0.24801  0.00139606
          97    0.249131    0.248021  0.00138171
          98    0.233385    0.247872  0.00137566
          99     0.23412    0.247733  0.00136876
         100    0.248384    0.247739  0.00135509
