#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5208     -0.5208           0
           2    -0.49656    -0.50868  0.00857013
           3    -0.49968    -0.50568  0.00621637
           4    -0.50384    -0.50522  0.00467926
           5    -0.50464   -0.505104  0.00374485
           6     -0.5056   -0.505187  0.00312162
           7    -0.49584   -0.503851  0.00294744
           8     -0.5012    -0.50352  0.00259758
           9      -0.512   -0.504462  0.00247395
          10    -0.51896   -0.505912   0.0026171
          11    -0.49808     -0.5052  0.00247414
          12    -0.51072    -0.50566  0.00231033
          13     -0.4984   -0.505102  0.00219907
          14    -0.49992   -0.504731  0.00207291
          15    -0.49864   -0.504325  0.00197409
          16    -0.51712   -0.505125  0.00200615
          17     -0.5028   -0.504988  0.00189279
          18      -0.508   -0.505156  0.00179502
          19    -0.49992    -0.50488  0.00172156
          20    -0.50032   -0.504652  0.00165052
          21      -0.502   -0.504526  0.00157674
          22     -0.4952   -0.504102  0.00156101
          23    -0.49904   -0.503882  0.00150858
          24    -0.49688    -0.50359  0.00147366
          25    -0.49904   -0.503408  0.00142591
          26    -0.50632    -0.50352  0.00137546
          27    -0.49456   -0.503188  0.00136396
          28    -0.50408    -0.50322  0.00131562
          29    -0.50848   -0.503401  0.00128269
          30     -0.5044   -0.503435  0.00124037
          31    -0.49864    -0.50328  0.00120996
          32    -0.50768   -0.503418  0.00117994
          33    -0.50368   -0.503425  0.00114421
          34    -0.50704   -0.503532  0.00111548
          35    -0.51424   -0.503838  0.00112479
          36    -0.49696   -0.503647  0.00110965
          37    -0.51192    -0.50387  0.00110196
          38    -0.50488   -0.503897  0.00107328
          39    -0.49552   -0.503682  0.00106704
          40    -0.50592   -0.503738  0.00104183
          41    -0.50544    -0.50378  0.00101724
          42    -0.51208   -0.503977  0.00101204
          43    -0.50976   -0.504112 0.000997397
          44      -0.516   -0.504382  0.00101066
          45    -0.50536   -0.504404 0.000988438
          46    -0.50776   -0.504477  0.00096964
          47    -0.49368   -0.504247  0.00097584
          48    -0.50776    -0.50432 0.000958251
          49    -0.50744   -0.504384 0.000940808
          50    -0.50768    -0.50445 0.000924299
          51    -0.50624   -0.504485 0.000906841
          52    -0.50808   -0.504554 0.000892034
          53    -0.50064    -0.50448 0.000878255
          54    -0.51304   -0.504639 0.000876179
          55    -0.50176   -0.504586 0.000861811
          56     -0.5112   -0.504704 0.000854475
          57    -0.50912   -0.504782 0.000842989
          58    -0.50632   -0.504808 0.000828872
          59    -0.50336   -0.504784 0.000815187
          60    -0.51144   -0.504895 0.000809114
          61    -0.49528   -0.504737 0.000811056
          62    -0.50296   -0.504708 0.000798481
          63    -0.50208   -0.504667 0.000786896
          64     -0.5108   -0.504763 0.000780414
          65    -0.50296   -0.504735 0.000768901
          66    -0.50512   -0.504741 0.000757273
          67     -0.4956   -0.504604  0.00075816
          68    -0.50616   -0.504627 0.000747355
          69    -0.50888   -0.504689 0.000739061
          70    -0.51368   -0.504817 0.000739581
          71    -0.49792    -0.50472 0.000735517
          72    -0.49328   -0.504561 0.000742265
          73     -0.5128   -0.504674 0.000740627
          74    -0.50536   -0.504683 0.000730677
          75    -0.50272   -0.504657 0.000721403
          76    -0.50696   -0.504687 0.000712547
          77    -0.50624   -0.504708 0.000703579
          78    -0.50592   -0.504723  0.00069473
          79     -0.5032   -0.504704 0.000686203
          80    -0.51016   -0.504772 0.000681007
          81    -0.51192    -0.50486 0.000678293
          82    -0.50312   -0.504839 0.000670353
          83    -0.51112   -0.504915 0.000666534
          84    -0.50808   -0.504952 0.000659663
          85    -0.50032   -0.504898  0.00065415
          86    -0.51152   -0.504975  0.00065106
          87    -0.50536   -0.504979 0.000643591
          88     -0.5032   -0.504959 0.000636595
          89    -0.51024   -0.505018 0.000632202
          90     -0.5016    -0.50498 0.000626317
          91    -0.50464   -0.504977 0.000619446
          92    -0.50024   -0.504925 0.000614849
          93    -0.51016   -0.504982 0.000610809
          94    -0.51208   -0.505057 0.000608961
          95     -0.5048   -0.505054 0.000602557
          96    -0.50056   -0.505008 0.000598096
          97    -0.50184   -0.504975 0.000592821
          98    -0.50472   -0.504972 0.000586777
          99    -0.50168   -0.504939 0.000581792
         100    -0.50096   -0.504899 0.000577333
