#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01916     0.01916           0
           2     0.05188     0.03552   0.0115683
           3     0.00948     0.02684   0.0104741
           4     0.00312     0.02091  0.00938527
           5     0.04408    0.025544  0.00857627
           6      0.0268   0.0257533  0.00714945
           7      0.0514   0.0294171  0.00700425
           8     0.01816     0.02801  0.00626847
           9     0.01964     0.02708  0.00564054
          10        0.03    0.027372  0.00508404
          11    -0.02052   0.0230182  0.00621241
          12    -0.00824   0.0204133  0.00621687
          13     0.03684   0.0216769  0.00586566
          14     0.02128   0.0216486  0.00544675
          15     0.03268    0.022384  0.00513304
          16     0.02056     0.02227  0.00481349
          17     0.01408   0.0217882  0.00455439
          18     0.07936   0.0249867  0.00530692
          19     0.02416   0.0249432  0.00502779
          20     0.04708     0.02605  0.00489672
          21     0.07452   0.0283581  0.00517902
          22     0.03176   0.0285127  0.00494592
          23     0.02264   0.0282574  0.00473746
          24     0.01936   0.0278867  0.00455455
          25     0.04904   0.0287328  0.00445027
          26       0.032   0.0288585  0.00428088
          27      0.0954    0.031323  0.00477937
          28    -0.01792   0.0295643  0.00492163
          29     0.03904    0.029891  0.00476275
          30     0.03028    0.029904  0.00460401
          31     0.07196   0.0312606  0.00465108
          32     0.09404   0.0332225  0.00490206
          33       0.041   0.0334582  0.00475918
          34     0.03704   0.0335635  0.00462037
          35     0.03572   0.0336251  0.00448877
          36     0.05412   0.0341944  0.00440003
          37     0.03788   0.0342941  0.00428224
          38     0.00388   0.0334937  0.00424369
          39     0.03368   0.0334985  0.00413488
          40     0.04452    0.033774  0.00404068
          41       0.038   0.0338771  0.00394344
          42     0.02832   0.0337448  0.00385177
          43     0.02184   0.0334679  0.00377213
          44     0.02824   0.0333491  0.00368827
          45     0.06796   0.0341182  0.00368563
          46     0.04608   0.0343783  0.00361467
          47    -0.02048   0.0332111  0.00372144
          48     0.00632   0.0326508  0.00368584
          49    -0.00156   0.0319527  0.00367615
          50      0.0248   0.0318096  0.00360541
          51     0.01508   0.0314816   0.0035496
          52     0.01748   0.0312123  0.00349154
          53     0.00748   0.0307645  0.00345426
          54     0.04236   0.0309793  0.00339696
          55     0.00668   0.0305375   0.0033638
          56     0.02056   0.0303593  0.00330845
          57     -0.0044   0.0297495  0.00330613
          58      0.0194    0.029571  0.00325394
          59       0.003   0.0291207   0.0032298
          60     0.05528   0.0295567  0.00320526
          61     0.00836   0.0292092   0.0031715
          62     0.04276   0.0294277  0.00312787
          63     0.03816   0.0295663  0.00308129
          64      0.0078   0.0292262  0.00305185
          65     0.06556   0.0297852  0.00305566
          66     0.05212   0.0301236  0.00302805
          67     0.03792     0.03024  0.00298509
          68     0.00676   0.0298947  0.00296109
          69     0.06576   0.0304145  0.00296345
          70     0.06072   0.0308474  0.00295257
          71     0.02244    0.030729  0.00291336
          72     0.00976   0.0304378  0.00288741
          73       0.028   0.0304044  0.00284805
          74     0.05428    0.030727  0.00282778
          75      0.0164    0.030536  0.00279652
          76     0.02532   0.0304674  0.00276057
          77     0.01772   0.0303018  0.00272968
          78    -0.01448   0.0297277   0.0027544
          79     0.05428   0.0300385  0.00273701
          80     0.03772   0.0301345  0.00270448
          81      0.0264   0.0300884  0.00267148
          82     0.00036   0.0297259  0.00266339
          83     0.02696   0.0296925  0.00263151
          84     0.01992   0.0295762  0.00260275
          85     0.08272   0.0302014  0.00264616
          86      0.0356   0.0302642  0.00261614
          87     0.02132   0.0301614  0.00258808
          88     0.04124   0.0302873  0.00256173
          89    -0.00648   0.0298742  0.00256605
          90     0.03468   0.0299276  0.00253809
          91     0.01844   0.0298013  0.00251334
          92     0.03072   0.0298113  0.00248604
          93     0.01852   0.0296899  0.00246227
          94     0.03976    0.029797   0.0024384
          95     0.03444   0.0298459  0.00241323
          96    -0.02036   0.0293229   0.0024441
          97        0.03   0.0293299  0.00241891
          98    -0.00948   0.0289339  0.00242643
          99     0.03248   0.0289697  0.00240219
         100       0.011     0.02879  0.00238488
