#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     92.5176     92.5176           0
           2     88.8699     90.6938     1.28965
           3      93.927     91.7715     1.23027
           4     97.5293      93.211     1.55093
           5     73.4344     89.2556       3.749
           6     90.4744     89.4588     3.12967
           7     83.2312     88.5691     2.80617
           8     71.1146     86.3873     3.19285
           9     78.7683     85.5407     2.94818
          10     92.8018     86.2668     2.74132
          11      75.968     85.3306     2.64717
          12     93.9662     86.0502     2.52249
          13     75.7856     85.2606     2.44892
          14     94.5248     85.9224     2.36171
          15     59.4651     84.1585     2.78611
          16     86.5885     84.3104     2.61611
          17     99.3251     85.1936     2.60705
          18     94.0414     85.6852     2.50813
          19     71.1936     84.9225     2.48939
          20     65.8347     83.9681     2.54129
          21     85.5264     84.0423     2.42136
          22     72.7901     83.5308      2.3647
          23      75.359     83.1755     2.28842
          24     85.2165     83.2606     2.19465
          25     52.6093     82.0345     2.42528
          26      67.524     81.4764     2.39535
          27     67.3758     80.9542     2.36288
          28     87.3094     81.1811     2.28936
          29     83.6622     81.2667     2.21202
          30      90.284     81.5673     2.15861
          31      74.951     81.3539      2.0995
          32     78.8051     81.2742      2.0354
          33     60.8816     80.6562      2.0654
          34     95.4621     81.0917     2.05005
          35     97.8482     81.5705     2.04661
          36     80.4837     81.5403     1.98999
          37     79.4645     81.4842     1.93699
          38     52.3122     80.7165     2.03246
          39     52.2384     79.9863     2.10744
          40     80.4123     79.9969     2.05478
          41     89.6515     80.2324     2.01811
          42     73.7766     80.0787     1.97591
          43     47.1131     79.3121     2.07336
          44     46.0776     78.5567     2.15944
          45     93.6643     78.8925     2.13739
          46     83.3272     78.9889      2.0931
          47     83.4422     79.0836     2.05071
          48     64.6589     78.7831     2.02988
          49     86.6819     78.9443     1.99485
          50     81.6403     78.9982     1.95568
          51     55.2264     78.5321      1.9721
          52     82.7174     78.6126     1.93581
          53     36.1078     77.8106     2.05872
          54     63.0448     77.5372     2.03867
          55     72.5757      77.447      2.0036
          56      83.888      77.562     1.97112
          57     67.4698     77.3849     1.94448
          58     85.4234     77.5235     1.91588
          59     95.6666      77.831     1.90793
          60     78.2592     77.8382     1.87615
          61     79.3411     77.8628     1.84555
          62     78.3944     77.8714      1.8158
          63     67.0869     77.7002     1.79503
          64     90.2608     77.8965     1.77768
          65     63.1619     77.6698     1.76473
          66     91.9414      77.886     1.75119
          67     78.1877     77.8905     1.72506
          68      68.699     77.7553     1.70497
          69     86.2301     77.8782     1.68468
          70     93.1032     78.0957      1.6746
          71     94.9739     78.3334      1.6678
          72     89.2104     78.4845     1.65146
          73      70.845     78.3798     1.63215
          74      70.333     78.2711     1.61371
          75     66.3317     78.1119     1.60003
          76     91.7848     78.2918     1.58906
          77     75.7886     78.2593     1.56876
          78     86.9701      78.371     1.55261
          79     89.9334     78.5173     1.53984
          80     92.0835     78.6869      1.5299
          81     82.4958     78.7339     1.51174
          82     89.0371     78.8596     1.49852
          83     40.6451     78.3991     1.54958
          84     84.3266     78.4697     1.53274
          85     91.3099     78.6208     1.52213
          86     93.2402     78.7908     1.51389
          87     47.2122     78.4278     1.53939
          88     96.0022     78.6275      1.5348
          89     72.3034     78.5564      1.5192
          90     77.6013     78.5458     1.50235
          91     37.6317     78.0962     1.55166
          92     38.0325     77.6608     1.59474
          93      97.872     77.8781     1.59233
          94     99.0368     78.1032     1.59122
          95      72.679     78.0461     1.57549
          96     78.6198      78.052     1.55909
          97     83.5571     78.1088     1.54405
          98     92.4862     78.2555     1.53525
          99     74.4109     78.2167     1.52023
         100     89.4512      78.329     1.50918
