#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.88224    -0.88224           0
           2    -0.89784    -0.89004  0.00551543
           3    -0.89768   -0.892587  0.00422418
           4    -0.89928    -0.89426  0.00348383
           5    -0.91464   -0.898336  0.00458898
           6    -0.88096    -0.89544    0.004649
           7     -0.8836   -0.893749   0.0042815
           8    -0.89096     -0.8934  0.00376048
           9    -0.87816   -0.891707  0.00370433
          10    -0.90104    -0.89264  0.00344948
          11     -0.8896   -0.892364  0.00314694
          12     -0.8972   -0.892767  0.00291039
          13    -0.89048   -0.892591  0.00269182
          14    -0.91368   -0.894097  0.00289047
          15     -0.9048   -0.894811  0.00278445
          16     -0.9072   -0.895585  0.00271595
          17    -0.89296   -0.895431  0.00256058
          18    -0.90336   -0.895871  0.00245593
          19    -0.89776   -0.895971  0.00232868
          20    -0.88944   -0.895644  0.00223502
          21    -0.90128   -0.895912  0.00214464
          22     -0.9056   -0.896353  0.00209188
          23    -0.88136   -0.895701  0.00210004
          24    -0.88528   -0.895267  0.00205693
          25        -0.9   -0.895456  0.00198335
          26      -0.896   -0.895477  0.00190718
          27    -0.88224   -0.894987  0.00189851
          28    -0.88832   -0.894749  0.00184557
          29    -0.87048   -0.893912  0.00196251
          30    -0.87576   -0.893307  0.00198818
          31    -0.87336   -0.892663  0.00202549
          32    -0.89392   -0.892702  0.00196257
          33    -0.90232   -0.892994  0.00192462
          34    -0.88104   -0.892642  0.00189986
          35    -0.91232   -0.893205  0.00192697
          36    -0.88696   -0.893031  0.00188123
          37    -0.88864   -0.892912  0.00183413
          38    -0.89328   -0.892922  0.00178589
          39    -0.88096   -0.892615  0.00176624
          40    -0.89336   -0.892634  0.00172218
          41    -0.88552    -0.89246  0.00168889
          42    -0.88128   -0.892194  0.00166953
          43    -0.88824   -0.892102  0.00163323
          44    -0.90104   -0.892305   0.0016087
          45    -0.89352   -0.892332  0.00157317
          46    -0.87272   -0.891906   0.0015957
          47    -0.89672   -0.892009  0.00156504
          48    -0.86768   -0.891502  0.00161242
          49    -0.88088   -0.891285  0.00159401
          50    -0.90248   -0.891509  0.00157778
          51    -0.88736   -0.891427  0.00154894
          52    -0.88312   -0.891268  0.00152737
          53    -0.88696   -0.891186  0.00150071
          54    -0.88616   -0.891093   0.0014758
          55    -0.88656   -0.891011  0.00145127
          56    -0.87408   -0.890709  0.00145651
          57    -0.88296   -0.890573  0.00143728
          58    -0.89128   -0.890585  0.00141256
          59    -0.87096   -0.890252  0.00142724
          60    -0.88576   -0.890177  0.00140541
          61    -0.88992   -0.890173  0.00138238
          62     -0.8588   -0.889667  0.00144974
          63    -0.88856    -0.88965  0.00142684
          64    -0.90616   -0.889907  0.00142767
          65    -0.89208   -0.889941   0.0014061
          66      -0.872   -0.889669  0.00141083
          67    -0.90504   -0.889899   0.0014083
          68    -0.89584   -0.889986   0.0013903
          69    -0.89432   -0.890049  0.00137157
          70    -0.89176   -0.890073  0.00135219
          71    -0.89928   -0.890203  0.00133935
          72     -0.8892   -0.890189  0.00132082
          73    -0.91368   -0.890511  0.00134135
          74     -0.8876   -0.890471   0.0013238
          75    -0.88728   -0.890429  0.00130684
          76    -0.90056   -0.890562  0.00129642
          77    -0.90192    -0.89071  0.00128795
          78    -0.89192   -0.890725  0.00127153
          79    -0.88024   -0.890592  0.00126234
          80    -0.89208   -0.890611   0.0012467
          81    -0.89168   -0.890624  0.00123138
          82    -0.91688   -0.890944   0.0012573
          83    -0.89184   -0.890955   0.0012422
          84    -0.89784   -0.891037  0.00123011
          85    -0.91048   -0.891266  0.00123673
          86    -0.87672   -0.891097  0.00123386
          87    -0.89248   -0.891113  0.00121978
          88    -0.89624   -0.891171  0.00120731
          89    -0.89096   -0.891169  0.00119374
          90    -0.88936   -0.891148  0.00118065
          91     -0.8816   -0.891044  0.00117233
          92    -0.87608   -0.890881  0.00117081
          93    -0.88224   -0.890788  0.00116191
          94     -0.8932   -0.890814  0.00114983
          95    -0.90472    -0.89096  0.00114701
          96    -0.87872   -0.890832  0.00114212
          97    -0.88584   -0.890781  0.00113151
          98    -0.89024   -0.890776  0.00111997
          99    -0.89544   -0.890823  0.00110965
         100    -0.89568   -0.890871  0.00109962
