#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.324454    0.324454           0
           2    0.299098    0.311776  0.00896461
           3    0.308132    0.310561  0.00605812
           4    0.367749    0.324858   0.0131889
           5    0.302788    0.320444   0.0112656
           6     0.30571    0.317988  0.00965193
           7    0.303359    0.315899  0.00849633
           8    0.317173    0.316058  0.00743578
           9    0.321792    0.316695  0.00663682
          10    0.318255    0.316851  0.00597497
          11    0.299815    0.315302  0.00562894
          12    0.303242    0.314297  0.00524882
          13    0.307957    0.313809  0.00486767
          14     0.33421    0.315267  0.00473307
          15     0.32268    0.315761  0.00444326
          16    0.338963    0.317211  0.00439584
          17    0.307367    0.316632  0.00417522
          18    0.334218    0.317609  0.00405596
          19     0.30319     0.31685  0.00391285
          20    0.277319    0.314873  0.00418678
          21    0.326982     0.31545  0.00402692
          22    0.345403    0.316812  0.00406752
          23    0.306188     0.31635  0.00391681
          24    0.315048    0.316295  0.00375399
          25    0.333678    0.316991  0.00366765
          26    0.325055    0.317301  0.00353968
          27    0.322527    0.317494  0.00341387
          28    0.291299    0.316559  0.00341773
          29    0.312686    0.316425  0.00330249
          30    0.320925    0.316575  0.00319581
          31    0.297691    0.315966  0.00315024
          32    0.284914    0.314996  0.00319776
          33    0.309856     0.31484  0.00310465
          34    0.319336    0.314972  0.00301615
          35    0.351996     0.31603  0.00310995
          36    0.298187    0.315534   0.0030628
          37    0.348535    0.316426  0.00310717
          38    0.317698     0.31646  0.00302558
          39    0.350433    0.317331  0.00307084
          40    0.301119    0.316926   0.0030207
          41     0.29762    0.316455   0.0029835
          42     0.29449    0.315932  0.00295794
          43    0.328431    0.316222   0.0029034
          44    0.298282    0.315815   0.0028659
          45    0.312767    0.315747  0.00280302
          46     0.33771    0.316224  0.00278245
          47    0.320867    0.316323    0.002725
          48    0.254433    0.315034  0.00295759
          49    0.302275    0.314773  0.00290867
          50    0.318265    0.314843  0.00285134
          51    0.320398    0.314952  0.00279751
          52    0.281388    0.314307  0.00281719
          53    0.291816    0.313882  0.00279581
          54    0.282514    0.313301  0.00280373
          55    0.343739    0.313855  0.00280684
          56    0.318627     0.31394  0.00275801
          57    0.320718    0.314059  0.00271219
          58    0.298579    0.313792  0.00267853
          59    0.304033    0.313627  0.00263823
          60    0.312322    0.313605  0.00259435
          61    0.311419    0.313569  0.00255207
          62    0.283424    0.313083   0.0025568
          63    0.341297    0.313531  0.00255514
          64    0.287027    0.313117  0.00254855
          65    0.338024      0.3135  0.00253799
          66    0.333868    0.313808  0.00251823
          67    0.322467    0.313938  0.00248396
          68    0.328016    0.314145  0.00245604
          69    0.301111    0.313956   0.0024277
          70    0.308566    0.313879  0.00239424
          71    0.309352    0.313815  0.00236137
          72    0.315039    0.313832  0.00232863
          73     0.27468    0.313296  0.00235769
          74    0.302678    0.313152  0.00233019
          75     0.30702    0.313071  0.00230055
          76    0.316695    0.313118  0.00227078
          77    0.323163    0.313249  0.00224503
          78       0.288    0.312925  0.00223946
          79       0.299    0.312749  0.00221804
          80    0.354983    0.313277  0.00225227
          81    0.305736    0.313184  0.00222638
          82    0.309535    0.313139  0.00219968
          83    0.338032    0.313439  0.00219353
          84    0.316942    0.313481  0.00216781
          85    0.292213     0.31323   0.0021567
          86    0.314709    0.313248  0.00213169
          87     0.33489    0.313496  0.00212165
          88     0.29677    0.313306  0.00210604
          89    0.313388    0.313307  0.00208237
          90    0.313174    0.313306  0.00205924
          91      0.3339    0.313532    0.002049
          92    0.327704    0.313686  0.00203251
          93    0.297835    0.313516  0.00201779
          94    0.337299    0.313769  0.00201213
          95    0.319984    0.313834  0.00199201
          96    0.321753    0.313917  0.00197297
          97    0.309924    0.313875  0.00195306
          98    0.307438     0.31381  0.00193423
          99    0.341975    0.314094  0.00193551
         100    0.315614    0.314109  0.00191621
