#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05764     0.05764           0
           2      0.0622     0.05992   0.0016122
           3      0.0438   0.0545467  0.00451704
           4     0.05036      0.0535  0.00350695
           5     0.00592    0.043984  0.00896184
           6     0.05776     0.04628  0.00775674
           7     0.01848   0.0423086  0.00759759
           8     0.06524    0.045175  0.00716825
           9     0.05672   0.0464578  0.00648554
          10     0.04408     0.04622  0.00584135
          11      0.0656   0.0479818  0.00556967
          12     0.03436   0.0468467  0.00521993
          13     0.09592   0.0506215  0.00603079
          14     0.04724     0.05038  0.00560486
          15     0.01984    0.048344  0.00558877
          16     0.04244    0.047975  0.00525164
          17     0.03404   0.0471553  0.00500629
          18     0.04504   0.0470378  0.00472954
          19     0.04264   0.0468063  0.00448628
          20     0.03948     0.04644  0.00427689
          21      0.0628    0.047219  0.00414358
          22      0.0154   0.0457727  0.00420007
          23      0.0594   0.0463652  0.00405904
          24     0.05896     0.04689  0.00392369
          25     0.03736   0.0465088  0.00378521
          26     0.04004     0.04626  0.00364779
          27     0.08024   0.0475185  0.00372347
          28      0.0114   0.0462286  0.00380738
          29     0.03304   0.0457738  0.00370315
          30     0.08976     0.04724  0.00385907
          31     0.03468   0.0468348  0.00375579
          32     0.03472   0.0464562  0.00365746
          33     0.12648   0.0488812   0.0042756
          34      0.0592   0.0491847  0.00416061
          35     0.04128   0.0489589  0.00404786
          36      0.0548   0.0491211  0.00393867
          37     0.06888   0.0496551  0.00386825
          38     0.02432   0.0489884  0.00382348
          39     0.02004   0.0482462  0.00379681
          40      0.0036     0.04713  0.00386246
          41    -0.00528   0.0458517  0.00397416
          42      0.0046   0.0448695  0.00399907
          43     0.04076    0.044774  0.00390721
          44       0.047   0.0448245  0.00381873
          45      0.0236   0.0443529  0.00376289
          46     0.02212   0.0438696    0.003712
          47     0.07264   0.0444817  0.00368314
          48     0.10684   0.0457808  0.00382868
          49     0.03472   0.0455551  0.00375719
          50     0.03208   0.0452856   0.0036917
          51     0.05044   0.0453867   0.0036207
          52     0.10488   0.0465308  0.00372745
          53     0.00316   0.0457125  0.00374587
          54       0.077   0.0462919  0.00372104
          55     0.06628   0.0466553  0.00367109
          56     0.02536    0.046275  0.00362518
          57     0.06576   0.0466168  0.00357766
          58     0.03232   0.0463703  0.00352446
          59     0.06764   0.0467308  0.00348311
          60     0.04728     0.04674  0.00342507
          61     0.11612   0.0478774  0.00355275
          62     0.05004   0.0479123  0.00349562
          63     0.04832   0.0479187  0.00344014
          64    -0.00096    0.047155  0.00347013
          65     0.01816   0.0467089  0.00344529
          66       0.051   0.0467739  0.00339371
          67     0.03412   0.0465851   0.0033483
          68      0.0628   0.0468235  0.00330755
          69     0.06336   0.0470632  0.00326828
          70     0.05544   0.0471829  0.00322378
          71     0.07768   0.0476124  0.00320686
          72     0.06476   0.0478506  0.00317116
          73     0.06972   0.0481501  0.00314183
          74      0.0322   0.0479346  0.00310676
          75      0.0702   0.0482315  0.00307949
          76     0.04604   0.0482026   0.0030391
          77      0.0824   0.0486468  0.00303191
          78     0.04692   0.0486246  0.00299312
          79     0.01728   0.0482278  0.00298142
          80     0.05084   0.0482605  0.00294433
          81     0.07976   0.0486494  0.00293355
          82     0.01316   0.0482166  0.00292953
          83     0.07672     0.04856  0.00291429
          84     0.05156   0.0485957  0.00287981
          85     0.06156   0.0487482  0.00284997
          86     0.09636   0.0493019   0.0028701
          87     0.05276   0.0493416  0.00283738
          88     0.01872   0.0489936   0.0028264
          89      0.0638     0.04916  0.00279953
          90     0.08872   0.0495996  0.00280272
          91      0.0554   0.0496633  0.00277265
          92     0.05872   0.0497617  0.00274426
          93      0.0514   0.0497794  0.00271481
          94     0.04372   0.0497149  0.00268669
          95     0.05612   0.0497823  0.00265926
          96     0.02636   0.0495383  0.00264272
          97     0.05452   0.0495897  0.00261598
          98      0.0574   0.0496694   0.0025905
          99     0.03872   0.0495588  0.00256669
         100     0.03372   0.0494004  0.00254591
