#   N_BLOCK:  ACCEPTANCE:
           1    0.471193
           2    0.470962
           3    0.470918
           4    0.470467
           5    0.470055
           6    0.469587
           7    0.469626
           8    0.469764
           9    0.469823
          10    0.469993
          11     0.46967
          12    0.469315
          13    0.469475
          14    0.469576
          15     0.46943
          16    0.469638
          17    0.469681
          18    0.470009
          19     0.46999
          20    0.470345
          21    0.470666
          22     0.47096
          23    0.471029
          24     0.47104
          25    0.471092
          26    0.471023
          27    0.471226
          28    0.471085
          29    0.471124
          30    0.471419
          31    0.471431
          32    0.471726
          33    0.471752
          34    0.471783
          35     0.47182
          36    0.471794
          37    0.471829
          38    0.471631
          39    0.471844
          40    0.471779
          41      0.4717
          42    0.471585
          43    0.471518
          44    0.471561
          45    0.471602
          46    0.471556
          47    0.471566
          48    0.471527
          49    0.471441
          50     0.47152
          51     0.47159
          52    0.471592
          53    0.471529
          54    0.471562
          55    0.471547
          56    0.471544
          57    0.471511
          58    0.471401
          59    0.471423
          60    0.471459
          61    0.471407
          62    0.471509
          63    0.471495
          64    0.471423
          65    0.471486
          66    0.471526
          67    0.471532
          68    0.471516
          69    0.471467
          70    0.471511
          71    0.471443
          72    0.471488
          73     0.47143
          74    0.471453
          75    0.471463
          76    0.471442
          77    0.471485
          78    0.471519
          79    0.471532
          80    0.471448
          81    0.471486
          82    0.471516
          83    0.471588
          84    0.471602
          85    0.471642
          86    0.471648
          87     0.47165
          88    0.471662
          89     0.47164
          90    0.471639
          91    0.471634
          92    0.471674
          93     0.47163
          94    0.471709
          95    0.471751
          96    0.471657
          97    0.471749
          98    0.471797
          99    0.471823
         100    0.471853
