#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.107851    0.107851           0
           2    0.111748    0.109799  0.00137793
           3    0.107575    0.109058  0.00110018
           4     0.10447    0.107911  0.00129133
           5    0.111819    0.108693  0.00124738
           6    0.107314    0.108463  0.00106044
           7    0.105082     0.10798  0.00101297
           8    0.103118    0.107372  0.00105298
           9    0.103371    0.106927  0.00102555
          10    0.104166    0.106651 0.000959441
          11    0.111091    0.107055 0.000953329
          12     0.10867    0.107189  0.00088333
          13    0.101273    0.106734 0.000925238
          14    0.106087    0.106688 0.000860304
          15   0.0997894    0.106228 0.000917686
          16    0.104507    0.106121  0.00086661
          17    0.106083    0.106118 0.000815636
          18    0.105258    0.106071 0.000771722
          19    0.104956    0.106012 0.000733331
          20    0.106547    0.106039 0.000697151
          21    0.104148    0.105949 0.000669745
          22    0.102745    0.105803 0.000654946
          23    0.114086    0.106163 0.000718687
          24    0.113424    0.106466 0.000749726
          25   0.0992635    0.106178 0.000773107
          26    0.108775    0.106277 0.000749801
          27    0.103373     0.10617 0.000729709
          28    0.100318    0.105961 0.000732969
          29    0.104877    0.105924 0.000708646
          30   0.0985838    0.105679 0.000726031
          31   0.0974863    0.105415 0.000749167
          32    0.105709    0.105424 0.000725812
          33    0.108033    0.105503 0.000708111
          34    0.104436    0.105471 0.000687979
          35    0.102893    0.105398 0.000672255
          36    0.109532    0.105513 0.000663318
          37    0.107252     0.10556 0.000647054
          38    0.107048    0.105599 0.000631211
          39    0.106557    0.105623 0.000615504
          40    0.105692    0.105625 0.000600118
          41    0.103695    0.105578 0.000587326
          42    0.103196    0.105521 0.000576073
          43    0.102732    0.105456 0.000566317
          44    0.106364    0.105477 0.000553822
          45     0.10352    0.105434 0.000543219
          46    0.103489    0.105391 0.000533053
          47    0.104705    0.105377 0.000521911
          48    0.107603    0.105423 0.000513094
          49    0.104066    0.105395  0.00050337
          50    0.101427    0.105316 0.000499522
          51    0.109185    0.105392 0.000495455
          52    0.108074    0.105443 0.000488606
          53    0.102152    0.105381 0.000483317
          54    0.103095    0.105339 0.000476218
          55    0.109319    0.105411 0.000473025
          56    0.112945    0.105546 0.000483327
          57    0.105613    0.105547 0.000474849
          58    0.100488     0.10546 0.000474606
          59     0.10861    0.105513 0.000469557
          60    0.111173    0.105608 0.000471111
          61    0.100158    0.105518 0.000471784
          62    0.101806    0.105458 0.000467959
          63    0.107775    0.105495 0.000461974
          64     0.10485    0.105485 0.000454866
          65    0.101359    0.105422 0.000452275
          66    0.100471    0.105347 0.000451601
          67    0.109495    0.105408 0.000449084
          68    0.100009    0.105329 0.000449446
          69    0.103272    0.105299  0.00044392
          70    0.110123    0.105368 0.000442894
          71    0.100421    0.105298 0.000442103
          72    0.107201    0.105325 0.000436751
          73    0.104131    0.105309 0.000431075
          74    0.104355    0.105296 0.000425442
          75    0.100621    0.105233 0.000424312
          76   0.0988352    0.105149 0.000426998
          77    0.110522    0.105219 0.000427116
          78    0.102404    0.105183 0.000423162
          79    0.101746    0.105139 0.000420036
          80    0.103444    0.105118 0.000415319
          81    0.107093    0.105143 0.000410907
          82    0.106489    0.105159 0.000406224
          83     0.10192     0.10512   0.0004032
          84    0.101263    0.105074 0.000401006
          85    0.105562     0.10508 0.000396329
          86    0.111995     0.10516 0.000399795
          87    0.104032    0.105147  0.00039541
          88    0.108286    0.105183 0.000392521
          89     0.10698    0.105203  0.00038863
          90    0.100888    0.105155 0.000387259
          91    0.103401    0.105136 0.000383483
          92    0.102121    0.105103 0.000380712
          93   0.0990743    0.105038 0.000382097
          94    0.104791    0.105036 0.000378042
          95    0.101078    0.104994 0.000376351
          96   0.0986915    0.104928 0.000378113
          97    0.103436    0.104913 0.000374528
          98    0.108021    0.104945 0.000372046
          99    0.108483     0.10498 0.000370001
         100    0.104561    0.104976 0.000366325
