#   N_BLOCK:  ACCEPTANCE:
           1    0.512559
           2     0.51206
           3    0.511234
           4    0.511302
           5    0.510908
           6    0.510969
           7    0.510867
           8    0.510902
           9    0.510934
          10    0.510761
          11    0.510692
          12    0.510594
          13    0.510547
          14    0.510437
          15    0.510491
          16     0.51051
          17     0.51045
          18    0.510447
          19    0.510348
          20    0.510336
          21    0.510285
          22    0.510205
          23    0.510162
          24    0.510157
          25    0.510158
          26    0.510178
          27    0.510269
          28    0.510278
          29    0.510246
          30     0.51023
          31    0.510289
          32    0.510269
          33    0.510269
          34    0.510249
          35    0.510268
          36    0.510242
          37    0.510238
          38    0.510238
          39    0.510207
          40    0.510205
          41    0.510204
          42    0.510203
          43    0.510229
          44    0.510251
          45    0.510288
          46    0.510258
          47    0.510251
          48    0.510311
          49    0.510319
          50    0.510301
          51    0.510318
          52    0.510284
          53    0.510267
          54    0.510266
          55    0.510248
          56    0.510226
          57     0.51018
          58    0.510173
          59    0.510199
          60    0.510226
          61    0.510235
          62    0.510258
          63    0.510272
          64    0.510273
          65    0.510268
          66    0.510254
          67    0.510255
          68    0.510257
          69     0.51028
          70    0.510262
          71    0.510277
          72    0.510264
          73    0.510254
          74    0.510248
          75    0.510253
          76    0.510248
          77     0.51023
          78    0.510222
          79    0.510227
          80    0.510205
          81    0.510219
          82    0.510225
          83    0.510235
          84    0.510246
          85    0.510247
          86    0.510252
          87    0.510242
          88    0.510227
          89    0.510226
          90    0.510218
          91    0.510227
          92    0.510226
          93    0.510217
          94    0.510234
          95    0.510232
          96    0.510234
          97    0.510212
          98     0.51022
          99    0.510226
         100    0.510222
