# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913  0.00122885  0.00122885           0
           1    0.910562   0.0232986   0.0232986           0
           1    0.936212    0.165632    0.165632           0
           1    0.961861    0.557933    0.557933           0
           1    0.987511     1.19539     1.19539           0
           1     1.01316     1.83609     1.83609           0
           1     1.03881     2.31712     2.31712           0
           1     1.06446     2.54212     2.54212           0
           1     1.09011     2.53501     2.53501           0
           1     1.11576      2.3973      2.3973           0
           1     1.14141     2.21624     2.21624           0
           1     1.16706     1.98838     1.98838           0
           1     1.19271     1.77545     1.77545           0
           1     1.21836     1.58559     1.58559           0
           1     1.24401     1.40091     1.40091           0
           1     1.26966     1.26757     1.26757           0
           1     1.29531     1.13907     1.13907           0
           1     1.32096      1.0359      1.0359           0
           1     1.34661    0.945987    0.945987           0
           1     1.37226     0.87442     0.87442           0
           1     1.39791    0.816284    0.816284           0
           1     1.42355    0.774497    0.774497           0
           1      1.4492    0.735787    0.735787           0
           1     1.47485    0.708628    0.708628           0
           1      1.5005    0.687097    0.687097           0
           1     1.52615    0.670967    0.670967           0
           1      1.5518    0.666029    0.666029           0
           1     1.57745    0.661747    0.661747           0
           1      1.6031    0.671211    0.671211           0
           1     1.62875    0.683746    0.683746           0
           1      1.6544    0.694967    0.694967           0
           1     1.68005    0.712007    0.712007           0
           1      1.7057     0.74269     0.74269           0
           1     1.73135    0.772893    0.772893           0
           1       1.757    0.814374    0.814374           0
           1     1.78265    0.845381    0.845381           0
           1      1.8083    0.886472    0.886472           0
           1     1.83395    0.935126    0.935126           0
           1      1.8596    0.974912    0.974912           0
           1     1.88525     1.01592     1.01592           0
           1      1.9109     1.05547     1.05547           0
           1     1.93655     1.09566     1.09566           0
           1      1.9622     1.13621     1.13621           0
           1     1.98785     1.16659     1.16659           0
           1      2.0135     1.18425     1.18425           0
           1     2.03915     1.21604     1.21604           0
           1      2.0648      1.2194      1.2194           0
           1     2.09045      1.2211      1.2211           0
           1      2.1161     1.21591     1.21591           0
           1     2.14174     1.20051     1.20051           0
           1     2.16739     1.18699     1.18699           0
           1     2.19304      1.1528      1.1528           0
           1     2.21869     1.13227     1.13227           0
           1     2.24434     1.09749     1.09749           0
           1     2.26999     1.06375     1.06375           0
           1     2.29564     1.03614     1.03614           0
           1     2.32129     1.00862     1.00862           0
           1     2.34694    0.986662    0.986662           0
           1     2.37259    0.960964    0.960964           0
           1     2.39824    0.945064    0.945064           0
           1     2.42389    0.931239    0.931239           0
           1     2.44954    0.912569    0.912569           0
           1     2.47519    0.908533    0.908533           0
           1     2.50084    0.893471    0.893471           0
           1     2.52649    0.888356    0.888356           0
           1     2.55214    0.881661    0.881661           0

           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0           0           0
           2    0.884913 0.000990416  0.00110963  8.4299e-05
           2    0.910562   0.0245111   0.0239049 0.000428707
           2    0.936212    0.161241    0.163437  0.00155264
           2    0.961861    0.558974    0.558454 0.000367734
           2    0.987511     1.18971     1.19255  0.00200997
           2     1.01316     1.85441     1.84525  0.00647545
           2     1.03881     2.34104     2.32908  0.00845597
           2     1.06446     2.55725     2.54969    0.005351
           2     1.09011     2.54749     2.54125  0.00440991
           2     1.11576      2.4173      2.4073  0.00707293
           2     1.14141     2.20311     2.20968  0.00464217
           2     1.16706     1.96897     1.97867  0.00686374
           2     1.19271     1.76581     1.77063  0.00340544
           2     1.21836     1.56732     1.57646  0.00645872
           2     1.24401     1.39774     1.39933  0.00111893
           2     1.26966     1.24506     1.25632  0.00795712
           2     1.29531     1.12645     1.13276  0.00446116
           2     1.32096     1.02839     1.03215  0.00265408
           2     1.34661     0.94586    0.945924  4.4806e-05
           2     1.37226    0.876853    0.875636 0.000860237
           2     1.39791     0.81649    0.816387 7.27613e-05
           2     1.42355    0.773129    0.773813 0.000483623
           2      1.4492    0.732238    0.734013  0.00125489
           2     1.47485    0.705347    0.706988  0.00116027
           2      1.5005    0.680042     0.68357  0.00249448
           2     1.52615    0.671991    0.671479 0.000361919
           2      1.5518    0.665802    0.665915 8.01328e-05
           2     1.57745    0.667946    0.664846  0.00219176
           2      1.6031    0.675095    0.673153  0.00137329
           2     1.62875    0.683307    0.683527 0.000155052
           2      1.6544    0.694132    0.694549 0.000294996
           2     1.68005    0.719823    0.715915  0.00276343
           2      1.7057    0.753373    0.748031  0.00377706
           2     1.73135    0.781015    0.776954  0.00287145
           2       1.757    0.814806     0.81459 0.000152982
           2     1.78265    0.854434    0.849907  0.00320075
           2      1.8083    0.897176    0.891824  0.00378458
           2     1.83395    0.941425    0.938275    0.002227
           2      1.8596    0.980104    0.977508  0.00183559
           2     1.88525      1.0271     1.02151  0.00395344
           2      1.9109     1.06174     1.05861  0.00221675
