# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913  0.00172406  0.00172406           0
           1    0.910562   0.0205963   0.0205963           0
           1    0.936212    0.168418    0.168418           0
           1    0.961861    0.581064    0.581064           0
           1    0.987511      1.2129      1.2129           0
           1     1.01316     1.87253     1.87253           0
           1     1.03881     2.31485     2.31485           0
           1     1.06446     2.51559     2.51559           0
           1     1.09011     2.54103     2.54103           0
           1     1.11576     2.36038     2.36038           0
           1     1.14141     2.13833     2.13833           0
           1     1.16706     1.95618     1.95618           0
           1     1.19271     1.72546     1.72546           0
           1     1.21836     1.55872     1.55872           0
           1     1.24401     1.41445     1.41445           0
           1     1.26966     1.27982     1.27982           0
           1     1.29531     1.16153     1.16153           0
           1     1.32096     1.06308     1.06308           0
           1     1.34661    0.974826    0.974826           0
           1     1.37226    0.867967    0.867967           0
           1     1.39791    0.801091    0.801091           0
           1     1.42355    0.773554    0.773554           0
           1      1.4492    0.734973    0.734973           0
           1     1.47485    0.709375    0.709375           0
           1      1.5005    0.698427    0.698427           0
           1     1.52615    0.684077    0.684077           0
           1      1.5518    0.665593    0.665593           0
           1     1.57745    0.672373    0.672373           0
           1      1.6031    0.670434    0.670434           0
           1     1.62875    0.680059    0.680059           0
           1      1.6544    0.698992    0.698992           0
           1     1.68005     0.73022     0.73022           0
           1      1.7057    0.765152    0.765152           0
           1     1.73135    0.790239    0.790239           0
           1       1.757    0.818696    0.818696           0
           1     1.78265    0.833033    0.833033           0
           1      1.8083    0.866091    0.866091           0
           1     1.83395    0.932773    0.932773           0
           1      1.8596    0.959615    0.959615           0
           1     1.88525     1.01767     1.01767           0
           1      1.9109     1.04989     1.04989           0
           1     1.93655     1.08207     1.08207           0
           1      1.9622     1.13069     1.13069           0
           1     1.98785     1.14876     1.14876           0
           1      2.0135     1.20171     1.20171           0
           1     2.03915     1.23839     1.23839           0
           1      2.0648     1.25138     1.25138           0
           1     2.09045     1.22006     1.22006           0
           1      2.1161     1.20765     1.20765           0
           1     2.14174     1.18864     1.18864           0
           1     2.16739     1.17229     1.17229           0
           1     2.19304     1.14898     1.14898           0
           1     2.21869     1.12676     1.12676           0
           1     2.24434      1.0892      1.0892           0
           1     2.26999     1.06328     1.06328           0
           1     2.29564     1.04415     1.04415           0
           1     2.32129     1.00448     1.00448           0
           1     2.34694     0.98134     0.98134           0
           1     2.37259    0.964677    0.964677           0
           1     2.39824    0.937367    0.937367           0
           1     2.42389    0.928105    0.928105           0
           1     2.44954    0.905325    0.905325           0
           1     2.47519    0.913186    0.913186           0
           1     2.50084     0.90616     0.90616           0
           1     2.52649    0.883034    0.883034           0
           1     2.55214    0.879977    0.879977           0

           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0           0           0
           2    0.884913 0.000972075  0.00134807 0.000265866
           2    0.910562   0.0254292   0.0230128   0.0017087
           2    0.936212    0.184903     0.17666  0.00582818
           2    0.961861    0.596806    0.588935  0.00556541
           2    0.987511     1.24173     1.22731   0.0101904
           2     1.01316     1.91697     1.89475   0.0157112
           2     1.03881     2.35546     2.33515   0.0143568
           2     1.06446     2.54188     2.52873  0.00929478
           2     1.09011     2.52799     2.53451  0.00461075
           2     1.11576     2.39566     2.37802   0.0124735
           2     1.14141     2.19223     2.16528   0.0190559
           2     1.16706     1.91178     1.93398    0.015696
           2     1.19271     1.73579     1.73062  0.00365175
           2     1.21836     1.55186     1.55529  0.00242544
           2     1.24401      1.3704     1.39243   0.0155732
           2     1.26966     1.22601     1.25292   0.0190234
           2     1.29531     1.11266     1.13709   0.0172787
           2     1.32096     1.00136     1.03222   0.0218205
           2     1.34661    0.923049    0.948938    0.018306
           2     1.37226    0.850897    0.859432  0.00603514
           2     1.39791    0.800253    0.800672 0.000296242
           2     1.42355    0.762491    0.768022  0.00391159
           2      1.4492    0.725433    0.730203  0.00337298
           2     1.47485    0.708859    0.709117 0.000182094
           2      1.5005    0.692768    0.695598  0.00200055
           2     1.52615    0.688511    0.686294  0.00156759
           2      1.5518    0.698422    0.682007   0.0116066
           2     1.57745    0.698128    0.685251  0.00910578
           2      1.6031    0.703738    0.687086   0.0117748
           2     1.62875    0.700904    0.690481  0.00736974
           2      1.6544    0.717999    0.708495  0.00671998
           2     1.68005    0.746167    0.738193   0.0056384
           2      1.7057    0.765384    0.765268  8.2034e-05
           2     1.73135    0.794015    0.792127  0.00133493
           2       1.757    0.836562    0.827629   0.0063167
           2     1.78265     0.86477    0.848902    0.011221
           2      1.8083    0.874076    0.870083  0.00282329
           2     1.83395    0.923429    0.928101  0.00330351
           2      1.8596     1.00095     0.98028   0.0146127
           2     1.88525     1.01207     1.01487  0.00198029
           2      1.9109     1.05608     1.05299  0.00218755
