# DISTANCE:     GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.14769e-05 2.06038e-06
    0.884913  0.00128387 2.31461e-05
    0.910562   0.0243019 0.000131951
    0.936212    0.165087 0.000335211
    0.961861    0.563828 0.000738598
    0.987511     1.19981  0.00110881
     1.01316     1.86089  0.00122368
     1.03881     2.33509  0.00115611
     1.06446     2.55169  0.00086789
     1.09011     2.54831 0.000915505
     1.11576     2.40631 0.000974673
     1.14141     2.19925 0.000986228
     1.16706     1.97247  0.00100063
     1.19271     1.75574 0.000993252
     1.21836     1.56096  0.00088533
     1.24401     1.39086 0.000773959
     1.26966     1.24661 0.000795729
     1.29531     1.12589 0.000704289
     1.32096     1.02443 0.000572858
     1.34661     0.94169 0.000558595
     1.37226    0.873917 0.000508516
     1.39791    0.818593 0.000492969
     1.42355    0.774629 0.000480555
      1.4492    0.738189  0.00053322
     1.47485    0.710765 0.000490362
      1.5005    0.690981 0.000475299
     1.52615    0.677908 0.000439933
      1.5518    0.671575 0.000471757
     1.57745      0.6707 0.000462874
      1.6031    0.674679 0.000441882
     1.62875     0.68593 0.000442689
      1.6544    0.702031  0.00050312
     1.68005    0.722565 0.000442619
      1.7057    0.748876 0.000414877
     1.73135     0.77914  0.00039108
       1.757    0.814288 0.000435944
     1.78265     0.85313 0.000460577
      1.8083    0.893671  0.00045715
     1.83395    0.935453 0.000543695
      1.8596    0.977346 0.000540615
     1.88525     1.01789 0.000489779
      1.9109     1.05777 0.000449088
     1.93655     1.09494 0.000428131
      1.9622     1.12986 0.000496215
     1.98785     1.16076  0.00047514
      2.0135     1.18551  0.00041398
     2.03915     1.20395 0.000452707
      2.0648     1.21409 0.000415794
     2.09045     1.21562 0.000515081
      2.1161     1.20927 0.000443303
     2.14174     1.19565 0.000450708
     2.16739     1.17603 0.000494873
     2.19304     1.15207 0.000487932
     2.21869     1.12497 0.000488878
     2.24434     1.09614 0.000443664
     2.26999     1.06757 0.000403227
     2.29564     1.03905 0.000388703
     2.32129     1.01275 0.000355378
     2.34694    0.988076 0.000423035
     2.37259    0.966583 0.000424189
     2.39824    0.947436 0.000436947
     2.42389    0.931564 0.000431677
     2.44954    0.917891 0.000421364
     2.47519    0.908796 0.000406509
     2.50084     0.89456 0.000374922
     2.52649    0.885103 0.000377725
     2.55214    0.885186 0.000367292
