# DISTANCE:     GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  1.6729e-05 5.63123e-06
    0.884913   0.0012681 5.24791e-05
    0.910562   0.0256911  0.00028422
    0.936212     0.17497 0.000818932
    0.961861    0.585601  0.00137844
    0.987511     1.22978  0.00191651
     1.01316     1.88494  0.00271976
     1.03881     2.35016  0.00303966
     1.06446     2.55105  0.00288117
     1.09011     2.53844  0.00269448
     1.11576     2.39561  0.00282317
     1.14141     2.18616  0.00240828
     1.16706     1.95727  0.00268966
     1.19271     1.74241  0.00260932
     1.21836     1.54987  0.00233995
     1.24401     1.38116   0.0023435
     1.26966     1.23684   0.0022736
     1.29531     1.11651  0.00197385
     1.32096     1.01277  0.00193074
     1.34661    0.934816  0.00176391
     1.37226    0.866601  0.00178052
     1.39791     0.81206  0.00156634
     1.42355    0.769098  0.00138989
      1.4492    0.736504  0.00142421
     1.47485    0.711533  0.00140721
      1.5005    0.692732  0.00129122
     1.52615    0.683218  0.00140948
      1.5518    0.676395  0.00139054
     1.57745    0.676525  0.00146779
      1.6031    0.678345  0.00123834
     1.62875    0.689139  0.00114978
      1.6544    0.705799  0.00127022
     1.68005    0.728382  0.00127426
      1.7057    0.756574  0.00123293
     1.73135     0.78785  0.00132972
       1.757    0.823139  0.00125075
     1.78265    0.858309  0.00129577
      1.8083    0.900637  0.00140225
     1.83395    0.939397  0.00152736
      1.8596    0.982234  0.00144646
     1.88525     1.02155  0.00129123
      1.9109     1.05808  0.00137252
     1.93655     1.09761  0.00141729
      1.9622     1.13134  0.00131855
     1.98785      1.1634  0.00130247
      2.0135     1.18655  0.00128473
     2.03915     1.20317  0.00130468
      2.0648     1.21475  0.00130893
     2.09045     1.21271  0.00124357
      2.1161      1.2048  0.00115883
     2.14174     1.19123  0.00122676
     2.16739     1.16951  0.00124832
     2.19304     1.14505  0.00110352
     2.21869     1.11713  0.00117881
     2.24434     1.08933  0.00125284
     2.26999     1.06097  0.00106142
     2.29564     1.03213  0.00107307
     2.32129     1.00587  0.00104701
     2.34694     0.98002  0.00107682
     2.37259    0.959633  0.00107305
     2.39824    0.941862  0.00104636
     2.42389    0.925739  0.00106114
     2.44954    0.912502  0.00103718
     2.47519    0.903406   0.0010498
     2.50084    0.896973 0.000980957
     2.52649    0.892813 0.000948765
     2.55214    0.892094 0.000954813
