#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47632    -5.47632           0
           2     -5.4725    -5.47441  0.00135044
           3    -5.45926    -5.46936  0.00421927
           4    -5.47089    -5.46974  0.00318181
           5    -5.46259    -5.46831  0.00284882
           6     -5.4634    -5.46749  0.00248872
           7    -5.46351    -5.46692  0.00219742
           8     -5.4663    -5.46685  0.00192412
           9    -5.47283    -5.46751  0.00182173
          10    -5.46448    -5.46721  0.00166456
          11    -5.46131    -5.46667  0.00159715
          12    -5.45677    -5.46585  0.00166375
          13    -5.46747    -5.46597  0.00154044
          14    -5.45708    -5.46534  0.00155573
          15    -5.47581    -5.46603  0.00160097
          16    -5.47488    -5.46659  0.00159346
          17    -5.45884    -5.46613  0.00156348
          18    -5.46053    -5.46582  0.00150732
          19    -5.45215     -5.4651  0.00159055
          20    -5.46527    -5.46511  0.00151104
          21    -5.46823    -5.46526  0.00144636
          22    -5.44692    -5.46442  0.00160298
          23    -5.45406    -5.46397  0.00159533
          24     -5.4505    -5.46341  0.00162467
          25     -5.4603    -5.46329  0.00156446
          26    -5.47048    -5.46356  0.00152852
          27    -5.47253     -5.4639  0.00150756
          28    -5.46796    -5.46404  0.00146069
          29    -5.46701    -5.46414   0.0014139
          30    -5.47454    -5.46449  0.00140862
          31    -5.48249    -5.46507  0.00147797
          32    -5.46537    -5.46508  0.00143181
          33    -5.47514    -5.46538   0.0014205
          34    -5.46839    -5.46547  0.00138148
          35    -5.47698     -5.4658   0.0013806
          36    -5.46725    -5.46584  0.00134284
          37    -5.45592    -5.46557  0.00133306
          38    -5.46764    -5.46563  0.00129909
          39    -5.46273    -5.46555   0.0012679
          40    -5.46375    -5.46551  0.00123701
          41    -5.46719    -5.46555  0.00120751
          42    -5.46352     -5.4655  0.00117973
          43    -5.46007    -5.46538  0.00115904
          44    -5.47019    -5.46548  0.00113785
          45    -5.46275    -5.46542  0.00111418
          46    -5.44858    -5.46506  0.00114855
          47    -5.46054    -5.46496  0.00112813
          48    -5.48215    -5.46532  0.00116007
          49    -5.47043    -5.46542  0.00114108
          50      -5.465    -5.46542  0.00111829
          51     -5.4676    -5.46546  0.00109719
          52    -5.46198    -5.46539  0.00107813
          53    -5.45009     -5.4651  0.00109577
          54    -5.46858    -5.46517  0.00107737
          55     -5.4615     -5.4651  0.00105984
          56    -5.45327    -5.46489  0.00106175
          57    -5.45429     -5.4647  0.00105928
          58    -5.46313    -5.46468  0.00104136
          59    -5.46337    -5.46465  0.00102395
          60    -5.46599    -5.46468  0.00100712
          61    -5.47298    -5.46481 0.000999766
          62    -5.47556    -5.46499  0.00099856
          63    -5.47251    -5.46511 0.000989825
          64    -5.46503     -5.4651  0.00097436
          65    -5.45356    -5.46493 0.000975435
          66    -5.46292     -5.4649 0.000961132
          67    -5.46479    -5.46489 0.000946788
          68    -5.46107    -5.46484 0.000934532
          69    -5.48065    -5.46507 0.000948673
          70    -5.46033      -5.465 0.000937527
          71    -5.47734    -5.46517 0.000940286
          72    -5.44732    -5.46493 0.000959376
          73    -5.47132    -5.46501 0.000950224
          74    -5.46613    -5.46503 0.000937502
          75    -5.46472    -5.46502 0.000925011
          76    -5.45836    -5.46494 0.000916986
          77     -5.4608    -5.46488 0.000906647
          78    -5.46585     -5.4649 0.000895109
          79    -5.46128    -5.46485 0.000884946
          80    -5.45447    -5.46472 0.000883344
          81    -5.46375    -5.46471 0.000872519
          82    -5.47978    -5.46489 0.000881023
          83    -5.46673    -5.46491 0.000870688
          84    -5.47392    -5.46502 0.000866898
          85    -5.47413    -5.46513 0.000863302
          86    -5.46733    -5.46515 0.000853645
          87    -5.46423    -5.46514 0.000843899
          88    -5.46093     -5.4651 0.000835664
          89    -5.46187    -5.46506 0.000827061
          90    -5.46202    -5.46503 0.000818558
          91    -5.46698    -5.46505 0.000809845
          92    -5.46646    -5.46506 0.000801188
          93    -5.45852    -5.46499 0.000795654
          94    -5.47126    -5.46506 0.000789977
          95    -5.46772    -5.46509 0.000782159
          96    -5.47827    -5.46522 0.000785972
          97    -5.44848    -5.46505 0.000796605
          98    -5.46855    -5.46509 0.000789277
          99    -5.46498    -5.46509 0.000781306
         100     -5.4618    -5.46505 0.000774183
