#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45015    -5.45015           0
           2    -5.42235    -5.43625  0.00982826
           3    -5.43854    -5.43702  0.00658159
           4    -5.44823    -5.43982   0.0055008
           5    -5.44146    -5.44015  0.00441038
           6      -5.443    -5.44062   0.0037009
           7     -5.4479    -5.44166  0.00331498
           8    -5.43617    -5.44098  0.00297071
           9    -5.44554    -5.44148  0.00268364
          10    -5.44362     -5.4417  0.00242376
          11    -5.43061    -5.44069  0.00240397
          12    -5.43741    -5.44041  0.00221913
          13    -5.44174    -5.44052  0.00205076
          14    -5.44722      -5.441  0.00195941
          15    -5.44981    -5.44158  0.00191479
          16    -5.44754    -5.44195  0.00183089
          17    -5.44549    -5.44216  0.00173498
          18    -5.44465     -5.4423  0.00164411
          19    -5.42202    -5.44123  0.00187239
          20    -5.44734    -5.44154  0.00180352
          21    -5.44014    -5.44147  0.00171887
          22    -5.45423    -5.44205  0.00173587
          23    -5.44692    -5.44226  0.00167322
          24    -5.44634    -5.44243   0.0016121
          25    -5.43609    -5.44218  0.00156747
          26    -5.42702     -5.4416  0.00161201
          27    -5.43437    -5.44133  0.00157436
          28    -5.43223      -5.441  0.00155128
          29    -5.44467    -5.44113  0.00150293
          30    -5.44688    -5.44132  0.00146501
          31    -5.44523    -5.44145  0.00142315
          32    -5.43177    -5.44115  0.00141048
          33    -5.43924    -5.44109  0.00136892
          34    -5.42352    -5.44057  0.00142287
          35    -5.45549      -5.441  0.00144465
          36    -5.43412    -5.44081  0.00141708
          37    -5.43723    -5.44071  0.00138209
          38    -5.43151    -5.44047  0.00136675
          39     -5.4567    -5.44088  0.00139361
          40    -5.43362     -5.4407  0.00137054
          41    -5.45034    -5.44094  0.00135712
          42    -5.43693    -5.44084  0.00132816
          43    -5.44567    -5.44095  0.00130202
          44    -5.45593    -5.44129  0.00131613
          45    -5.45627    -5.44163   0.0013283
          46    -5.44466    -5.44169  0.00130105
          47    -5.44497    -5.44176  0.00127524
          48    -5.44479    -5.44183  0.00125023
          49    -5.43173    -5.44162  0.00124157
          50    -5.43651    -5.44152  0.00122094
          51    -5.42797    -5.44125  0.00122556
          52    -5.43652    -5.44116  0.00120537
          53    -5.44703    -5.44127  0.00118771
          54    -5.44569    -5.44135  0.00116853
          55    -5.43527    -5.44124  0.00115252
          56    -5.44534    -5.44132  0.00113426
          57    -5.43503    -5.44121  0.00111971
          58     -5.4497    -5.44135  0.00110994
          59    -5.42305    -5.44104  0.00113366
          60    -5.44476     -5.4411  0.00111646
          61    -5.44793    -5.44122  0.00110375
          62    -5.44196    -5.44123  0.00108601
          63    -5.43486    -5.44113  0.00107348
          64     -5.4486    -5.44124  0.00106304
          65    -5.43419    -5.44114  0.00105221
          66    -5.45316    -5.44132  0.00105192
          67    -5.44359    -5.44135  0.00103677
          68    -5.43608    -5.44127  0.00102442
          69    -5.43447    -5.44118  0.00101431
          70    -5.43236    -5.44105  0.00100761
          71    -5.43171    -5.44092  0.00100196
          72    -5.43579    -5.44085 0.000990565
          73    -5.44407    -5.44089  0.00097798
          74    -5.43201    -5.44077 0.000972099
          75    -5.45043     -5.4409 0.000967632
          76    -5.43287    -5.44079 0.000960655
          77    -5.44557    -5.44086 0.000950175
          78    -5.44356    -5.44089 0.000938624
          79    -5.43872    -5.44086 0.000927145
          80    -5.44894    -5.44096 0.000921042
          81    -5.43158    -5.44085 0.000916926
          82    -5.43867    -5.44082  0.00090613
          83     -5.4339    -5.44074 0.000899039
          84    -5.43541    -5.44067 0.000890574
          85     -5.4562    -5.44086 0.000898629
          86    -5.44257    -5.44088   0.0008884
          87    -5.44713    -5.44095 0.000881089
          88    -5.45655    -5.44113 0.000888731
          89     -5.4363    -5.44107 0.000880396
          90     -5.4431    -5.44109 0.000870901
          91    -5.44661    -5.44116 0.000863434
          92    -5.43486    -5.44109 0.000856758
          93     -5.4332      -5.441 0.000851735
          94    -5.44324    -5.44103 0.000843007
          95    -5.45122    -5.44113  0.00084093
          96    -5.42879      -5.441 0.000841945
          97    -5.44586    -5.44105 0.000834752
          98    -5.44705    -5.44112 0.000828471
          99    -5.44601    -5.44117 0.000821575
         100    -5.42491      -5.441 0.000829286
