#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.33598     1.33598           0
           2     1.36221      1.3491  0.00927461
           3     1.40854     1.36891   0.0173206
           4     1.35093     1.36442   0.0135614
           5     1.40717     1.37297    0.013274
           6      1.3899     1.37579   0.0113578
           7     1.40826     1.38043   0.0106404
           8     1.39327     1.38203  0.00943062
           9     1.35254     1.37876  0.00893392
          10      1.3899     1.37987  0.00810979
          11     1.39919     1.38163  0.00756033
          12     1.41718     1.38459  0.00748833
          13     1.38393     1.38454  0.00691247
          14     1.42298     1.38729  0.00694271
          15     1.34706      1.3846  0.00697852
          16     1.34857     1.38235  0.00689617
          17     1.41316     1.38416  0.00672436
          18     1.41925     1.38611  0.00662735
          19     1.46787     1.39042  0.00754717
          20     1.39039     1.39041  0.00716981
          21     1.38505     1.39016  0.00683294
          22     1.48792      1.3946  0.00783506
          23     1.45051     1.39703  0.00786241
          24      1.4423     1.39892  0.00775772
          25     1.42428     1.39993  0.00751344
          26     1.37329     1.39891  0.00729403
          27     1.33956     1.39671  0.00734766
          28     1.36751     1.39567  0.00715885
          29     1.38526     1.39531  0.00692099
          30     1.35089     1.39383  0.00684684
          31     1.31182     1.39118  0.00711876
          32     1.38976     1.39114  0.00689644
          33     1.35444     1.39003  0.00677651
          34     1.38261     1.38981  0.00658071
          35     1.33545     1.38825  0.00657341
          36     1.37898       1.388  0.00639587
          37     1.43163     1.38918   0.0063308
          38     1.38839     1.38916  0.00616423
          39     1.40435     1.38955  0.00601848
          40     1.39275     1.38963  0.00586855
          41     1.38788     1.38958  0.00572557
          42     1.43249      1.3906  0.00567965
          43     1.40106     1.39085  0.00555277
          44     1.36039     1.39016  0.00546955
          45     1.38995     1.39015    0.005348
          46     1.46022     1.39167  0.00544437
          47     1.40992     1.39206  0.00534236
          48     1.30491     1.39025  0.00553102
          49     1.37457     1.38993  0.00542739
          50      1.4057     1.39024    0.005328
          51     1.37067     1.38986  0.00523733
          52     1.43096     1.39065  0.00519591
          53     1.46793     1.39211  0.00529851
          54      1.3871     1.39201   0.0052012
          55     1.41824     1.39249  0.00512844
          56      1.4321      1.3932  0.00508539
          57     1.46155      1.3944  0.00513563
          58     1.40214     1.39453  0.00504882
          59     1.40413     1.39469  0.00496587
          60     1.37768     1.39441   0.0048912
          61     1.35631     1.39379  0.00485073
          62     1.31786     1.39256  0.00492464
          63     1.35294     1.39193  0.00488646
          64      1.3847     1.39182  0.00481141
          65     1.44403     1.39262  0.00480398
          66     1.40641     1.39283  0.00473573
          67     1.37458     1.39256  0.00467287
          68      1.4114     1.39284  0.00461237
          69     1.32159      1.3918  0.00465965
          70     1.41933      1.3922  0.00460964
          71     1.31925     1.39117  0.00465781
          72     1.47879     1.39239  0.00474942
          73     1.36697     1.39204  0.00469711
          74     1.38464     1.39194   0.0046347
          75     1.39399     1.39197  0.00457298
          76     1.41556     1.39228  0.00452334
          77     1.40661     1.39246  0.00446842
          78     1.39339     1.39247  0.00441115
          79     1.39969     1.39257  0.00435626
          80      1.4343     1.39309  0.00433293
          81     1.38727     1.39302  0.00428004
          82     1.30773     1.39197  0.00435238
          83     1.35888     1.39158  0.00431818
          84     1.34902     1.39107  0.00429638
          85     1.35146      1.3906  0.00427103
          86     1.38117     1.39049  0.00422277
          87     1.39942      1.3906  0.00417548
          88     1.42192     1.39095  0.00414317
          89     1.41626     1.39124  0.00410636
          90     1.39272     1.39125  0.00406077
          91     1.36013     1.39091  0.00403052
          92     1.38977      1.3909  0.00398673
          93     1.41221     1.39113  0.00395044
          94     1.35706     1.39077  0.00392501
          95     1.38594     1.39071  0.00388403
          96     1.32746     1.39006  0.00389905
          97     1.47244     1.39091  0.00395028
          98     1.36344     1.39062   0.0039199
          99     1.37584     1.39048  0.00388314
         100     1.41083     1.39068  0.00384965
