#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41072     1.41072           0
           2     1.58283     1.49677   0.0608513
           3     1.53872     1.51076   0.0421432
           4     1.47837     1.50266   0.0323759
           5     1.55812     1.51375   0.0277356
           6     1.47344     1.50703   0.0239128
           7     1.52039     1.50894   0.0205727
           8     1.52508     1.51096   0.0180998
           9     1.50131     1.50989   0.0161204
          10     1.55253     1.51415    0.015062
          11     1.58209     1.52033   0.0149054
          12      1.5758     1.52495   0.0143622
          13     1.53874     1.52601   0.0132965
          14     1.45664     1.52106   0.0132379
          15     1.48704     1.51879   0.0125481
          16      1.5005     1.51764   0.0118158
          17     1.49813      1.5165   0.0111763
          18     1.47063     1.51395   0.0108421
          19     1.61708     1.51938   0.0115505
          20     1.49476     1.51815   0.0110383
          21     1.49381     1.51699   0.0105734
          22     1.43535     1.51328   0.0107241
          23     1.55808     1.51522   0.0104333
          24      1.4737     1.51349    0.010141
          25     1.53457     1.51434   0.0097703
          26     1.56157     1.51615   0.0095619
          27     1.58512     1.51871   0.0095428
          28     1.61522     1.52216  0.00980475
          29     1.49114     1.52109   0.0095248
          30     1.50466     1.52054  0.00922302
          31     1.47804     1.51917  0.00902681
          32     1.54128     1.51986  0.00877113
          33     1.54839     1.52072  0.00854786
          34     1.58462      1.5226  0.00850052
          35     1.44997     1.52053   0.0085072
          36     1.50108     1.51999  0.00828802
          37     1.54791     1.52074   0.0080983
          38     1.54633     1.52141  0.00791314
          39     1.45492     1.51971  0.00789179
          40     1.53529      1.5201  0.00770409
          41     1.43586     1.51804  0.00778536
          42     1.48212     1.51719  0.00764684
          43     1.44474      1.5155  0.00765238
          44     1.44826     1.51398  0.00762952
          45     1.44808     1.51251  0.00759919
          46     1.49385     1.51211  0.00744481
          47     1.51093     1.51208  0.00728645
          48     1.51823     1.51221  0.00713578
          49     1.54432     1.51286  0.00702018
          50     1.53817     1.51337    0.006898
          51     1.58579     1.51479  0.00690736
          52     1.54914     1.51545  0.00680605
          53      1.4961     1.51509  0.00668742
          54     1.49946      1.5148  0.00656984
          55     1.52421     1.51497  0.00645261
          56     1.53032     1.51524  0.00634321
          57     1.50639     1.51509  0.00623382
          58     1.48008     1.51448  0.00615549
          59     1.61401     1.51617  0.00627804
          60     1.49053     1.51574  0.00618794
          61     1.49199     1.51535  0.00609873
          62     1.56946     1.51623  0.00606248
          63     1.52023     1.51629  0.00596658
          64     1.49421     1.51594  0.00588332
          65      1.5549     1.51654  0.00582325
          66     1.43371     1.51529  0.00586873
          67     1.51858     1.51534  0.00578134
          68     1.56096     1.51601  0.00573512
          69      1.5519     1.51653  0.00567554
          70     1.54813     1.51698  0.00561238
          71     1.54226     1.51734  0.00554461
          72      1.6216     1.51878  0.00565355
          73     1.47095     1.51813  0.00561394
          74     1.57855     1.51895  0.00559713
          75     1.48958     1.51855  0.00553618
          76     1.49353     1.51823  0.00547312
          77      1.4804     1.51773  0.00542405
          78     1.55978     1.51827  0.00538123
          79     1.52624     1.51837  0.00531405
          80     1.48943     1.51801  0.00525993
          81     1.49126     1.51768  0.00520535
          82     1.53906     1.51794   0.0051484
          83     1.55672     1.51841  0.00510753
          84     1.52399     1.51848  0.00504716
          85     1.44715     1.51764  0.00505706
          86     1.54027      1.5179   0.0050051
          87     1.43903     1.51699  0.00502901
          88     1.43533     1.51607  0.00505676
          89     1.50802     1.51598  0.00500075
          90     1.55152     1.51637  0.00496076
          91      1.4717     1.51588  0.00493047
          92     1.56231     1.51638  0.00490264
          93     1.56155     1.51687  0.00487391
          94     1.47414     1.51641  0.00484322
          95     1.45408     1.51576  0.00483648
          96     1.53591     1.51597  0.00479066
          97     1.51293     1.51594  0.00474137
          98      1.4768     1.51554  0.00470977
          99     1.53374     1.51572  0.00466579
         100     1.62557     1.51682  0.00474668
