#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200201    0.200201           0
           2    0.210462    0.205331  0.00362785
           3    0.194154    0.201606  0.00388639
           4    0.200154    0.201243   0.0029317
           5    0.193688    0.199732  0.00270685
           6    0.190675    0.198222  0.00264328
           7    0.202892    0.198889  0.00234833
           8     0.18891    0.197642  0.00236298
           9    0.206774    0.198657  0.00230804
          10    0.212109    0.200002  0.00243794
          11    0.212638    0.201151  0.00247218
          12    0.200192    0.201071  0.00226746
          13    0.201592    0.201111  0.00209339
          14    0.187763    0.200157  0.00215004
          15     0.18453    0.199116  0.00224495
          16    0.195796    0.198908  0.00211421
          17    0.211262    0.199635  0.00211104
          18    0.202322    0.199784  0.00199903
          19     0.20828    0.200231  0.00194319
          20     0.19909    0.200174  0.00184687
          21     0.19799     0.20007  0.00176185
          22    0.202702     0.20019  0.00168582
          23    0.197516    0.200074  0.00161653
          24    0.197198    0.199954   0.0015536
          25    0.196663    0.199822  0.00149703
          26    0.212268    0.200301  0.00151405
          27     0.19279    0.200023  0.00148331
          28    0.184464    0.199467  0.00153088
          29    0.208306    0.199772  0.00150813
          30    0.205513    0.199963  0.00146995
          31     0.19971    0.199955  0.00142256
          32    0.200724    0.199979  0.00137831
          33    0.186176    0.199561  0.00139857
          34     0.20795    0.199807  0.00137903
          35    0.211392    0.200138  0.00137878
          36    0.195126    0.199999  0.00134749
          37    0.201848    0.200049    0.001312
          38    0.187978    0.199732  0.00131537
          39     0.20183    0.199785  0.00128274
          40    0.222163    0.200345  0.00136723
          41    0.189364    0.200077  0.00135986
          42     0.18592     0.19974  0.00136862
          43    0.225878    0.200348  0.00146558
          44    0.221286    0.200824  0.00150755
          45    0.181432    0.200393  0.00153441
          46    0.183899    0.200034  0.00154237
          47    0.187465    0.199767  0.00153257
          48    0.196122    0.199691  0.00150252
          49     0.17985    0.199286  0.00152544
          50    0.177958    0.198859  0.00155343
          51    0.185752    0.198602  0.00154408
          52    0.209056    0.198803  0.00152742
          53    0.183673    0.198518  0.00152504
          54    0.191198    0.198382  0.00150281
          55    0.202314    0.198454  0.00147719
          56    0.194975    0.198392  0.00145212
          57    0.195229    0.198336   0.0014277
          58    0.187077    0.198142  0.00141622
          59    0.180863    0.197849  0.00142217
          60     0.18508    0.197636  0.00141431
          61    0.180569    0.197357  0.00141853
          62    0.191274    0.197258  0.00139904
          63    0.195337    0.197228  0.00137716
          64    0.209902    0.197426  0.00136981
          65    0.183702    0.197215  0.00136491
          66    0.194525    0.197174  0.00134484
          67    0.203372    0.197267  0.00132794
          68    0.202328    0.197341   0.0013105
          69     0.17713    0.197048  0.00132384
          70    0.209728    0.197229  0.00131726
          71     0.19448    0.197191  0.00129928
          72    0.193791    0.197143  0.00128209
          73    0.196258    0.197131  0.00126458
          74     0.19882    0.197154   0.0012477
          75    0.197558    0.197159  0.00123108
          76    0.196036    0.197145  0.00121497
          77    0.194742    0.197113  0.00119959
          78     0.18444    0.196951  0.00119516
          79    0.197625    0.196959  0.00118006
          80    0.193904    0.196921  0.00116593
          81    0.187602    0.196806   0.0011572
          82    0.193215    0.196762  0.00114392
          83    0.198214     0.19678  0.00113027
          84    0.193859    0.196745  0.00111735
          85    0.206398    0.196859  0.00110996
          86    0.199206    0.196886  0.00109739
          87    0.194394    0.196857  0.00108515
          88    0.199382    0.196886  0.00107319
          89    0.173342    0.196622  0.00109325
          90    0.180626    0.196444  0.00109546
          91    0.190912    0.196383  0.00108511
          92    0.213356    0.196567  0.00108888
          93    0.194592    0.196546  0.00107738
          94    0.186728    0.196442  0.00107097
          95    0.205408    0.196536  0.00106385
          96    0.190982    0.196478  0.00105434
          97    0.200076    0.196515  0.00104412
          98    0.192448    0.196474  0.00103429
          99    0.196792    0.196477  0.00102385
         100    0.190973    0.196422  0.00101509
